postcode;2012;2013;2014;2015;2010;2011;mean;N2012;N2013;N2014;N2015;N2010;N2011
1097EZ;151.4395735;148.9738003;141.6278508;141.5764805;159.8129285;161.2512962;150.7803216;1.004372267;0.988018852;0.939299302;0.938958605;1.059905741;1.069445233
1097HN;129.1196213;121.8679733;120.256496;113.8105866;154.8025413;135.061944;129.1531937;0.999740057;0.94359241;0.931115155;0.881206135;1.198596309;1.045749935
1097HP;112.0539309;112.85935;107.6241259;103.6977078;138.2300513;122.3230243;116.131365;0.964889467;0.971824881;0.92674469;0.892934547;1.19029042;1.053315995
1097HR;51.91006791;52.9928546;53.56609462;51.46421457;61.65514814;57.32400137;54.8187302;0.946940356;0.966692486;0.977149497;0.938807126;1.124709527;1.045701007
1097HS;42.01464221;38.72882556;42.18988576;40.130774;45.78237863;44.94997175;42.29941298;0.993267737;0.915587778;0.997410668;0.948731227;1.082340756;1.062661833
1097HT;38.09065806;39.27007063;38.35274974;37.17333716;46.87072947;43.24512784;40.50044548;0.94049973;0.969620708;0.946971059;0.917850081;1.157289232;1.067769189
1097HW;47.18552463;50.59196625;49.33032121;49.58265022;55.82779318;51.66436454;50.69710334;0.930734135;0.997926172;0.973040232;0.97801742;1.10120282;1.01907922
1097HZ;87.33299493;90.05296194;89.97944932;88.06812115;99.38906494;94.97830762;91.63348332;0.953068592;0.982751705;0.981949458;0.961091055;1.084636984;1.036502206
1097JE;56.24394053;50.71467365;51.01194606;51.72539985;62.18938879;57.84921156;54.95576007;1.023440317;0.922827263;0.928236567;0.941218897;1.131626397;1.052650559
1097JG;88.47334621;85.64219913;84.15584691;80.97080645;98.73625437;92.64928815;88.43795687;1.00040016;0.968387355;0.951580632;0.915566226;1.116446579;1.047619048
1097MC;84.3405936;88.94397883;84.58720353;82.1211043;89.60160529;94.36939713;87.32731378;0.965798557;1.018512708;0.968622529;0.940382805;1.026043301;1.0806401
1097MD;83.75320586;82.2255899;84.35096863;82.49126224;102.9480326;92.52039315;88.04824206;0.951219512;0.933869751;0.958008549;0.936887101;1.169223032;1.050792054
1097ME;88.07821187;88.14670192;85.5440798;79.24299466;91.09177433;90.8178141;87.15359611;1.010609037;1.011394892;0.981532417;0.909233792;1.04518664;1.042043222
1097ML;87.7751286;91.90739927;86.35020768;81.86170679;89.84126394;91.55116904;88.21447922;0.995019518;1.041862969;0.978866604;0.927984924;1.018441244;1.037824741
1097MN;134.8970252;141.4475803;122.2400204;137.3396051;143.3350284;144.6673447;137.3211007;0.982347393;1.030049859;0.890176526;1.000134753;1.043794637;1.053496833
1097NA;132.5678504;132.4618809;130.3424908;132.8857589;140.4095937;135.7469355;134.069085;0.988802529;0.98801212;0.972203926;0.991173758;1.047292847;1.01251482
1097NC;110.7902542;112.9399158;109.7154233;109.7981026;126.0859236;129.5584539;116.4813456;0.951141607;0.969596593;0.941914113;0.942623921;1.082455933;1.112267834
1097NH;104.7547566;96.02519358;100.0002625;100.5458602;102.7282509;104.8326992;101.4811705;1.032258065;0.946236559;0.985407066;0.99078341;1.012288786;1.033026114
1097NJ;83.78345185;91.69703126;89.43600857;88.49391578;86.79814877;84.09748278;87.38433984;0.958792525;1.049353138;1.023478678;1.012697652;0.993291806;0.9623862
1097NL;73.74257954;104.5646733;76.79598323;76.45031489;55.71021439;68.26949747;75.92221047;0.971291261;1.377260655;1.01150879;1.006955862;0.733780195;0.899203238
1097NP;348.638467;317.1425053;304.3570159;295.313621;372.3383986;359.5529092;332.8904862;1.047306792;0.952693208;0.914285714;0.887119438;1.118501171;1.080093677
1097NS;91.40222798;94.51821302;90.95708726;73.89335963;97.85676843;96.44715615;90.84580208;1.006124949;1.040424663;1.00122499;0.813393222;1.077174357;1.06165782
1097PE;73.59531943;;;;74.06185077;74.21736122;73.95817714;0.995093745;;;;1.001401787;1.003504468
1097PK;137.9610854;141.9628572;;;144.6640533;143.3634774;141.9878683;0.971639951;0.999823851;;;1.018847983;1.009688216
1097PL;69.61731922;65.19849536;62.82233537;50.60803924;72.24360132;74.61976132;65.85159197;1.05718506;0.990082296;0.953998734;0.768516565;1.097066892;1.133150454
1097PN;82.84829283;84.56286843;77.0187358;77.36165092;88.06060265;85.52303076;82.56253023;1.003461166;1.02422816;0.932853385;0.937006784;1.066592828;1.035857677
1097PT;66.38136695;68.04327527;65.24177266;59.87618292;71.08219336;69.80014979;66.73749016;0.994663821;1.019565991;0.977588047;0.897189612;1.065101387;1.045891142
1097PV;68.23229866;67.46420524;65.28794056;62.79163695;80.32977;73.73696816;69.64046993;0.979779412;0.96875;0.9375;0.901654412;1.153492647;1.058823529
1097PW;94.12537138;88.20021311;84.98369862;78.46602452;90.99350201;92.77104949;88.25664319;1.066496164;0.999360614;0.962915601;0.889066496;1.03101023;1.051150895
1097RA;143.8415089;138.0389852;135.4940187;127.3501257;148.2188514;151.2728112;140.7027168;1.022307971;0.981068371;0.962980827;0.905100687;1.053418546;1.075123598
1097RG;199.0296787;201.1634097;193.221189;190.8503769;210.0539552;206.3791964;200.116301;0.994570046;1.005232501;0.965544476;0.953697305;1.049659394;1.031296278
