postcode;N2010;N2011;N2012;N2013;N2014;N2015
1097EZ;1.059905741;1.069445233;1.004372267;0.988018852;0.939299302;0.938958605
1097HN;1.198596309;1.045749935;0.999740057;0.94359241;0.931115155;0.881206135
1097HP;1.19029042;1.053315995;0.964889467;0.971824881;0.92674469;0.892934547
1097HR;1.124709527;1.045701007;0.946940356;0.966692486;0.977149497;0.938807126
1097HS;1.082340756;1.062661833;0.993267737;0.915587778;0.997410668;0.948731227
1097HT;1.157289232;1.067769189;0.94049973;0.969620708;0.946971059;0.917850081
1097HW;1.10120282;1.01907922;0.930734135;0.997926172;0.973040232;0.97801742
1097HZ;1.084636984;1.036502206;0.953068592;0.982751705;0.981949458;0.961091055
1097JE;1.131626397;1.052650559;1.023440317;0.922827263;0.928236567;0.941218897
1097JG;1.116446579;1.047619048;1.00040016;0.968387355;0.951580632;0.915566226
1097MC;1.026043301;1.0806401;0.965798557;1.018512708;0.968622529;0.940382805
1097MD;1.169223032;1.050792054;0.951219512;0.933869751;0.958008549;0.936887101
1097ME;1.04518664;1.042043222;1.010609037;1.011394892;0.981532417;0.909233792
1097ML;1.018441244;1.037824741;0.995019518;1.041862969;0.978866604;0.927984924
1097MN;1.043794637;1.053496833;0.982347393;1.030049859;0.890176526;1.000134753
1097NA;1.047292847;1.01251482;0.988802529;0.98801212;0.972203926;0.991173758
1097NC;1.082455933;1.112267834;0.951141607;0.969596593;0.941914113;0.942623921
1097NH;1.012288786;1.033026114;1.032258065;0.946236559;0.985407066;0.99078341
1097NJ;0.993291806;0.9623862;0.958792525;1.049353138;1.023478678;1.012697652
1097NL;0.733780195;0.899203238;0.971291261;1.377260655;1.01150879;1.006955862
1097NP;1.118501171;1.080093677;1.047306792;0.952693208;0.914285714;0.887119438
1097NS;1.077174357;1.06165782;1.006124949;1.040424663;1.00122499;0.813393222
1097PE;1.001401787;1.003504468;0.995093745;;;
1097PK;1.018847983;1.009688216;0.971639951;0.999823851;;
1097PL;1.097066892;1.133150454;1.05718506;0.990082296;0.953998734;0.768516565
1097PN;1.066592828;1.035857677;1.003461166;1.02422816;0.932853385;0.937006784
1097PT;1.065101387;1.045891142;0.994663821;1.019565991;0.977588047;0.897189612
1097PV;1.153492647;1.058823529;0.979779412;0.96875;0.9375;0.901654412
1097PW;1.03101023;1.051150895;1.066496164;0.999360614;0.962915601;0.889066496
1097RA;1.053418546;1.075123598;1.022307971;0.981068371;0.962980827;0.905100687
1097RG;1.049659394;1.031296278;0.994570046;1.005232501;0.965544476;0.953697305
1097RH;1.131950411;1.112065791;1.008960354;0.980974592;0.898490242;0.867558611
1097RJ;1.073265137;1.060823887;1.019353055;0.970417473;0.957976223;0.918164224
1097RK;1.091413474;1.155614267;1.031175694;0.961426684;0.857595773;0.902774108
1097RL;1.125042359;;1.003896984;1.016604541;0.957302609;0.897153507
1097RM;1.019795222;1.062116041;0.989761092;1.005460751;0.981569966;0.941296928
1097RN;1.019906526;1.019906526;0.983555479;1.003808205;1.000692401;0.972130864
1097RP;0.979531625;0.971418034;0.938594874;1.31698322;0.898026922;0.895445325
1097RR;1.007122356;1.028170511;0.969490805;1.029446157;0.986712023;0.979058148
1097RS;0.988149053;1.004276115;0.97275504;1.032864997;0.987416005;1.01453879
1097RT;1.041833394;1.076027646;1.042560931;0.948708621;0.942160786;0.948708621
1097RW;1.072778828;;;0.951795841;1.017958412;0.957466919
1097RZ;1.084536082;1.068865979;1.02185567;0.994639175;0.92371134;0.906391753
1097SB;1.0028472;1.03369187;1.035273648;;0.944321417;0.983865865
1097SE;1.013835737;1.065057404;1.077421254;0.943185163;0.940535767;0.959964675
1097SG;0.983349042;1.001570845;1.002199183;0.98711907;1.032359409;0.993402451
1097SJ;1.042519685;0.992125984;1.162992126;0.946456693;0.929133858;0.926771654
1097SK;1.029992464;1.044461191;1.048982668;1.05440844;0.900678222;0.921477016
1097SL;0.973950484;1.105705059;1.063078579;0.93649085;0.89386437;1.026910657
1094SH;1.120700637;1.007961783;1.027070064;0.949681529;0.945859873;0.948726115
1094NN;1.043065231;;1.052564915;0.904369854;;
1094ME;1.070489039;1.018887015;0.971332209;0.995615514;0.960202361;0.983473862
1094SB;1.003241087;0.932435802;0.968337073;1.066068312;1.076040888;0.953876839
1094SN;0.996875;1.003125;;;;
1094SR;1.066787004;1.109025271;1.007220217;1.015884477;0.898916968;0.902166065
1094SP;1.095667418;1.026796895;1.044327573;;0.901577761;0.931630353
1094NR;1.068345324;1.044604317;1.03381295;1.017625899;0.91294964;0.922661871
1094SC;1.123144105;1.000873362;;0.992139738;0.965938865;0.91790393
1094LW;1.019260802;1.047371161;1.073399271;0.953669964;0.967204581;0.939094222
1094EW;1.141400093;1.007881317;0.997681966;0.939267501;0.927213723;0.986555401
1091KZ;;1.206820195;0.987599646;0.944419841;0.926705049;0.93445527
1091LC;0.977537923;0.991540257;0.993290548;1.016919487;1.034422404;0.986289382
1091LE;1.066550825;0.986272806;0.978974805;0.989400521;1.003996525;0.974804518
1091LG;1.096634093;1.056460369;1.041259501;1.001085776;0.880564604;0.923995657
1091LH;1.107421875;1.077148438;0.963867187;0.985351563;0.9921875;0.874023438
1091LN;1.105960265;0.950331126;0.945916115;1.016556291;1.004415011;0.976821192
1091LP;1.083188908;0.978239938;1.001347968;0.973425765;0.96379742;
