,postcode,archetype,l_pc6_consumption_kwh_m3,case1_kwh_m3,case2_kwh_m3,case3_kwh_m3,case4_kwh_m3,case5_kwh_m3,case6_kwh_m3,case7_kwh_m3,case8_kwh_m3,case9_kwh_m3,case10_kwh_m3,case11_kwh_m3,case12_kwh_m3,case13_kwh_m3,case14_kwh_m3,case15_kwh_m3,case16_kwh_m3,case17_kwh_m3,case18_kwh_m3,case19_kwh_m3,case20_kwh_m3,case21_kwh_m3,case22_kwh_m3,case23_kwh_m3,case24_kwh_m3,case25_kwh_m3
0,1097EZ,SFH_1964,159.812928496554,144.516400132269,150.819693458728,157.161606150537,163.536503470944,169.939772185179,160.226540475949,167.461641322368,174.732923110045,182.03428977875,189.364423261407,176.861074212282,185.065217973581,193.312264818229,201.598952530214,209.921261004949,194.268983805941,203.502505002561,212.787859186977,222.122805645158,231.511496288397,212.472610493878,222.827510207781,233.250718747941,243.738084203065,254.284564966585
1,1097HN,TH_75_91,154.802541297863,98.3574626285809,106.159875127315,114.048729854444,122.007907724778,130.018899247708,108.866783144906,117.814135233791,126.840015370968,135.932956070981,145.085915328676,119.970830068924,130.109347020319,140.346419741085,150.679916248009,161.096043255769,131.617175995296,143.039922106664,154.580056505771,166.231473967965,177.984128329931,143.809374229376,156.591647271415,169.524741974282,182.60872294353,195.831767363168
2,1097HP,TH_75_91,138.230051331204,100.915023169732,108.778843465205,116.724964420491,124.728199863802,132.780516052135,111.638881805581,120.643261119477,129.722088173982,138.862421151591,148.066016626338,122.941867400732,133.142757782376,143.440905535079,153.828896883145,164.3017979201,134.783733744264,146.276610158712,157.888158648231,169.605824874884,181.422505046628,147.185017253175,160.046006519154,173.067825636982,186.243086662934,199.541127047358
3,1097HR,MFH_75_91,61.6551481436459,35.6381915789761,39.9304729961091,44.2630415022882,48.6317787770051,53.0366848202597,39.8497462876278,44.7576022229533,49.718081142551,54.7290666872707,59.785315624984,44.3097348676804,49.8876377364395,55.537401484808,61.2474910021029,67.0025960505089,49.018042921342,55.3184631774176,61.7024891530707,68.1561071187937,74.6609562289876,53.9728400839421,61.0527478276986,68.2304656835261,75.4710832585979,82.7637518289823
4,1097HS,MFH_75_91,45.7823786298487,26.2698199608199,29.9656732071424,33.7001325053393,37.4711077188442,41.2710989458598,29.604448428776,33.8373438234663,38.1231073783668,42.4559604806173,46.8220098695114,33.1560822520134,37.9826993807852,42.8709140636625,47.8079395828268,52.7793908807326,36.9344344181058,42.3947317741413,47.9236347892403,53.4982749103816,59.1067260642155,40.9374147904866,47.0722115114364,53.2747532469812,59.5291795490579,65.822211903009
5,1097HT,MFH_75_91,46.8707294675477,26.2561271902712,29.9391416466217,33.6588097217462,37.4157443524136,41.2005063123845,29.5827802092428,33.8006432900459,38.0697478847206,42.3861711979464,46.7350801599184,33.1250643834773,37.9342888588163,42.8033359627899,47.7197017853147,52.6687984312933,36.891070478323,42.3310068887546,47.8364049460938,53.3859344507864,58.9691754777629,40.8796952075959,46.9896940936769,53.1655223887268,59.3924696102944,65.657664086235
6,1097HW,MFH_75_91,55.8277931836356,35.4288072910842,39.7316076622125,44.0756433588549,48.4562929237052,52.8717972214016,39.596631293013,44.5157998974692,49.4866691920496,54.508299977366,59.5768460083054,44.0044580084101,49.592306761317,55.2559325061216,60.9796819196892,66.7496459063206,48.6592494390886,54.9738745311653,61.3729530285341,67.8423969403741,74.3649130716033,53.5587395801758,60.6545400362962,67.8476147147522,75.1080732223204,82.4217530285458
7,1097HZ,TH_75_91,99.3890649374243,81.3798288011959,88.44415265267,95.58996124711,102.798584986111,110.056325348921,90.0655953910529,98.1577242058972,106.328974356272,114.56270956637,122.859656022834,99.2312921311276,108.40269933889,117.673396065748,127.036483538601,136.481333025683,108.846036284031,119.17954017042,129.634119175175,140.199474651369,150.865737062362,118.914416029003,130.48501186908,142.216326016499,154.093636687509,166.093408833203
8,1097JE,MFH_75_91,62.1893887863477,35.4380614190726,39.779597210177,44.1656299049423,48.590054653104,53.0495369572402,39.5966834044784,44.5613471050109,49.5789396558569,54.647577217083,59.7657789091699,43.9934650682739,49.6301156283715,55.344900212647,61.1242592031862,66.9523764037589,48.6372211695043,55.0061112449958,61.4633503911475,67.9955401742104,74.5839429349568,53.5236198837245,60.6773761046132,67.936909434046,75.2703859993563,82.6586651809027
9,1097JG,TH_75_91,98.73625436781,78.6884529831127,85.5952579019305,92.580920751702,99.6273168888843,106.720939433755,87.1125095368236,95.0228057010539,103.009376009599,111.058872487205,119.172502807821,96.0032462644366,104.969716861176,114.034898913016,123.189448837278,132.423260309842,105.334561518149,115.438184263945,125.658347546075,135.987741759043,146.415974550686,115.104834472395,126.415781580017,137.884679728158,149.498466969604,161.228826528278
10,1097MC,MFH_1964,89.6016052900934,92.0669631041846,97.221227380041,102.418308134266,107.65289944551,112.916557978061,101.91779826644,107.838514415852,113.802554566544,119.802628843967,125.832231727162,112.363819388776,119.084114816344,125.851425320913,132.658645581721,139.505683321873,123.304260103998,130.867274257216,138.485885238488,146.156448110538,153.880208611424,134.729523615231,143.201649718638,151.747135952008,160.360814809331,169.036457600329
11,1097MD,MFH_1964,102.948032583705,84.8663433235421,89.2044984899935,93.5711918870762,97.9614683236194,102.37243727144,94.2599405191041,99.2377512198736,104.241003156793,109.267861073872,114.317866157115,104.212464926161,109.856955305689,115.53482440352,121.243663446167,126.979228404157,114.633920179146,120.992003968655,127.390623974825,133.831087817546,140.309793806942,125.555597392674,132.688893311999,139.875686943409,147.112216012124,154.393777674673
12,1097ME,MFH_1964,91.0917743257564,82.327975070555,86.8320099000812,91.3725971776972,95.9432347852331,100.538914334369,91.2459376730783,96.4197346073268,101.629996123203,106.867012976684,112.128939972072,100.711000799715,106.58034864521,112.4879623348,118.433270736482,124.411177595475,110.621019688675,117.227391415366,123.880420233248,130.575317420157,137.317135297642,120.979201465814,128.379051275377,135.843966199869,143.365467125731,150.939028930182
13,1097ML,MFH_1964,89.8412639353999,85.203479379735,89.7764200612513,94.385053280117,99.0233921958805,103.685541370234,94.3904003055586,99.6431901363847,104.930621379901,110.244376440975,115.583678401382,104.13089831834,110.087530361355,116.083465326419,122.114590117039,128.178436875319,114.321917500381,121.028092827735,127.779466515446,134.575490150648,141.417489064433,124.974837418646,132.48900770162,140.066885279171,147.700243958313,155.385747560778
14,1097MN,MFH_1964,143.335028431904,121.815594797881,127.902569105612,134.035518794641,140.210234071017,146.418073778738,134.495660351797,141.485912421963,148.525851139145,155.604398098213,162.717675857369,147.92263197971,155.8552131904,163.840084473314,171.870432609294,179.944374269468,161.964510484473,170.891046203603,179.876463646009,188.920430459538,198.02294664419,176.619467929238,186.611580045986,196.683955207915,206.832937541332,217.051603043028
15,1097NA,TH_1964,140.409593703046,120.981731507295,127.05764325064,133.180073597056,139.344712158533,145.544113719417,133.582395137695,140.560017661145,147.588693091937,154.657897365837,161.760297225322,146.929259705443,154.849009893977,162.821772257129,170.840661369896,178.905285378824,160.892901612103,169.804880728955,178.77754115234,187.805844766402,196.894269896347,175.464140291004,185.436754753687,195.493281834906,205.626836109658,215.830364215744
16,1097NC,MFH_1964,126.0859235799,89.5071920678403,94.5994337482921,99.734677955693,104.905499793304,110.104598112664,99.0577748696159,104.908902870976,110.803528392401,116.729214731853,122.685219399657,109.187623365345,115.825728546944,122.509063724514,129.233668953127,135.996203029251,119.785116607379,127.254562727235,134.776416243243,142.35358523996,149.984894108736,130.849140861206,139.21724698309,147.659849568926,156.169585596114,164.739896405868
17,1097NH,MFH_1964,102.728250925497,92.8461896763788,98.0561218995002,103.309451134886,108.595869001324,113.913721067262,102.667277164544,108.650337978595,114.676223117065,120.733033399172,126.82038703302,113.065952160517,119.854848404652,126.687905244846,133.561368394112,140.472374413227,123.943266931055,131.579868449953,139.271320738017,147.018514643008,154.820368421218,135.300303219867,143.858232217617,152.490801531183,161.192666074011,169.954917368508
18,1097NJ,MFH_1964,86.7981487684437,75.91736700673,80.3904495739899,84.8980784913922,89.4355653257033,93.9989619226211,84.2702514546213,89.4053548950176,94.5737003845814,99.7708815011008,104.994360145382,93.1191227866994,98.9445892078998,104.810347953807,110.71213360772,116.645574998804,102.386251715144,108.9472028806,115.557188712431,122.216385467526,128.920492477807,112.087466108541,119.446014945753,126.86798101144,134.348182353082,141.880731990603
19,1097NL,MFH_1964,55.7102143890433,69.1887890191425,73.488969147321,77.8263482445567,82.1924414277824,86.5848170536799,76.7383689395437,81.6753291945043,86.6454011882641,91.644549427657,96.6709113773754,84.7340778031722,90.3336867308518,95.973598853101,101.649623465478,107.357104229715,93.1048805828854,99.4088382793342,105.761118419593,112.164670017899,118.613181149043,101.862469861447,108.929653137217,116.060317824717,123.249807585676,130.491758757796
20,1097NP,TH_1964,372.338398583464,337.193733193184,349.588194739432,362.048622340152,374.578127601688,387.170331731037,370.817595755802,385.035614199391,399.344180387563,413.71855704989,428.155788160346,406.311222569956,422.452680474498,438.680641035376,454.979701801193,471.352663217658,443.38150031813,461.544413283431,479.798496314583,498.13970432334,516.557924589087,482.044920513943,502.335705476935,522.743020097473,543.27931080093,563.927308172103
21,1097NS,MFH_1964,97.8567684272513,72.7428834974027,77.5031340090464,82.3055361809702,87.1394743684883,92.0038825654397,80.4213702915222,85.8822089355153,91.3824898074629,96.9155947857825,102.478192601221,88.5405617993405,94.7284166450895,100.9671288681,107.25194585757,113.569142784179,97.0227728218796,103.990899760508,111.011705170255,118.092429009632,125.229473507845,105.88354928232,113.687558301889,121.571606617375,129.531563454904,137.553881652848
22,1097PE,TH_1964,74.0618507740432,72.7579981862496,77.5095144191933,82.2962932749954,87.1142498755623,91.9547955028512,80.3856526453729,85.8285955942426,91.3040430004202,96.8145086350403,102.358107169752,88.4181289976067,94.5896466136114,100.806796158404,107.061931578117,113.356205017854,96.808503515108,103.756147968874,110.765170334507,117.831276252984,124.94818129647,105.588407817985,113.383612105917,121.258698454344,129.204065654072,137.213918066095
