,postcode,archetype,l_pc6_consumption_kwh_m3,case1_kwh_m3,case2_kwh_m3,case3_kwh_m3,case4_kwh_m3,case5_kwh_m3,case6_kwh_m3,case7_kwh_m3,case8_kwh_m3,case9_kwh_m3,case10_kwh_m3,case11_kwh_m3,case12_kwh_m3,case13_kwh_m3,case14_kwh_m3,case15_kwh_m3,case16_kwh_m3,case17_kwh_m3,case18_kwh_m3,case19_kwh_m3,case20_kwh_m3,case21_kwh_m3,case22_kwh_m3,case23_kwh_m3,case24_kwh_m3,case25_kwh_m3
0,1091KZ,MFH_1964,37.0062405497766,22.3168034069236,23.1930940819527,24.0771656644849,24.9671123337138,25.8601971590074,23.5809071218524,24.6059521261453,25.6423460783987,26.6865066086755,27.734091884612,24.9183491141313,26.1047727193462,27.3021010586493,28.5074968950505,29.71753548289,26.3270229502376,27.6815743413356,29.0523180445489,30.4367177419621,31.8294571965885,27.80755912728,29.3507437897806,30.9124134811562,32.4880257563266,34.0735110430433
1,1091LC,MFH_1964,51.0891709416051,28.8806593129079,31.1091190753123,33.3519457831047,35.6081962370566,37.8771798805904,32.4754442145377,35.0821773960129,37.7107389024855,40.3580801793069,43.0201589440702,36.2801414729901,39.2963578622863,42.334318362363,45.3918165607398,48.4657870599248,40.2865823092346,43.7314659049411,47.2103720442392,50.7215659142626,54.2575356068717,44.5020765172901,48.4275874911794,52.3922917615724,56.3888290059198,60.4147738547777
2,1091LE,MFH_1964,35.0014479213591,27.5759277969475,29.0279059893061,30.489824652229,31.9594278956174,33.4341541926496,30.0896734110928,31.792055404417,33.5068811786086,35.2297990488966,36.9583639214964,32.7473448135409,34.7150340366123,36.6972046187049,38.6913969119047,40.6953550261127,35.5495678318675,37.8077138207552,40.0853332351409,42.378569230662,44.6831428931958,38.523020185757,41.0947931148951,43.6880624935551,46.2999320499329,48.9255407047189
3,1091LG,MFH_1964,42.3352022028309,31.3227532108534,33.5675482117353,35.8257513557284,38.0960034224116,40.3767186546271,35.3282483645586,37.9592035504587,40.6079135531077,43.2713201265585,45.9456146219232,39.5669206131918,42.6084877931414,45.6702025841227,48.7502385336952,51.846231164668,44.0359099304503,47.5216307000463,51.0383020513116,54.5802180901873,58.1429330332132,48.7729063659242,52.7451855705918,56.7506665657511,60.7846203970206,64.8431676227821
4,1091LH,Others_1964,43.2492951622325,24.5780889626122,25.2817770540867,25.9903261488247,26.7022085029434,27.4150630577148,25.8512320125856,26.6753340991868,27.5063341808952,28.3408989983302,29.1761813924374,27.1949753480523,28.1461116532724,29.1054885164058,30.0699115638793,31.0380150852523,28.6079764062063,29.6994105246641,30.8020480982625,31.9127641963321,33.027392244647,30.1106282531196,31.3545821358775,32.6103876075446,33.8745725229324,35.1432480794304
5,1091LN,MFH_1964,33.1726703471874,36.4182108490683,38.5856163669744,40.7644408998621,42.9513821450733,45.1477610236711,40.602297839338,43.1245444681521,45.6657880275218,48.2243773661179,50.7979313499184,44.9970022170481,47.9159944394505,50.8577030280342,53.8169138207071,56.7916975774951,49.6346344066294,52.9676658602256,56.322787980552,59.7008350335434,63.1049528969954,54.4914873511031,58.2688175565676,62.0846804198928,65.9342093897927,69.8091487096214
6,1091LP,MFH_1964,41.6334272663819,35.8221341439307,37.9755344624539,40.1415623227816,42.3176337973205,44.5015469303821,40.0049062564907,42.5118552766067,45.0365322869075,47.5788923495218,50.1364863504698,44.3974483517688,47.2956489474068,50.2181834002945,53.1600636067298,56.1179641642446,49.031868538731,52.3449804990727,55.6810107737218,59.0376675312473,62.4187030838938,53.8916072118434,57.6420994724843,61.4305192964102,65.2558331125836,69.1081770582783
7,1091LR,MFH_1964,37.7233721357683,39.0841364274009,41.2483934445077,43.4251396558193,45.6114153825007,47.805074044298,43.678907722963,46.2017737382532,48.7406252716467,51.2957550386327,53.86404074066,48.5087458183047,51.4234277778281,54.3598519934087,57.3146197129775,60.2837955394025,53.5963036398939,56.9285442447265,60.2836979675728,63.6587888676263,67.0551666885316,58.9403940638024,62.7172857586644,66.5287341432207,70.3717632766648,74.2416246632833
8,1091ME,MFH_1964,43.7336805521391,27.5931855808144,29.860370004545,32.1423174418447,34.4388737545206,36.7497991720509,30.988473184103,33.6388965343237,36.3136565925276,39.0077695571503,41.7177930085545,34.5794477862778,37.6468149477957,40.7378680115943,43.8498667431365,46.9791632051946,38.3634205321991,41.8655601559718,45.4045559342695,48.9783184382576,52.5784214467344,42.3414532627501,46.3303955520522,50.3624451559172,54.4289360826214,58.5271280976276
9,1091MG,MFH_1964,36.8478229918181,29.1378689841125,31.4036603371359,33.6846582094261,35.9784847090083,38.2849999598839,32.7437922965845,35.3970002009125,38.0726681941442,40.7645018563467,43.4694838624093,36.5649647884795,39.6318259849755,42.7227058886445,45.8317097252633,48.9591172468292,40.5854206136816,44.094110124903,47.6390475020242,51.2155369079524,54.8148660662089,44.8334546884612,48.8358265452844,52.8717686417503,56.9411011372893,61.0377294348235
10,1091NB,MFH_1964,46.4170383967184,24.2316400700761,25.3901871671686,26.5574035178879,27.7326912426734,28.9129891981758,25.9036341761073,27.2578194229761,28.6262939913401,30.0049325122321,31.3891432706276,27.67155207882,29.2390487952726,30.8199260562885,32.4113977431159,34.0100081118952,29.5337555882185,31.3229460456926,33.1327394328205,34.9609355528196,36.800347893373,31.4910099901402,33.5287270233097,35.5899407232056,37.6689353612298,39.7622073631579
11,1091NH,MFH_1964,48.2276251642398,29.0247072489748,31.2662645192155,33.5222367152478,35.7919339539735,38.0739946240141,32.622229749006,35.2473257122879,37.8933360263405,40.5563392503944,43.2314335834877,36.4316915987751,39.466342109833,42.5228147125805,45.5981501716222,48.6905874695754,40.4386052532169,43.9098428366148,47.41635523212,50.9526233749458,54.5124927816622,44.6711288356348,48.6286069196349,52.6213779705608,56.6453934639141,60.6975489257524
12,1091NJ,MFH_1964,37.8362870186374,30.4107571202792,32.6539105353183,34.9088581260378,37.176513786679,39.4550003290706,34.2508048726811,36.8791153106996,39.5250243878224,42.1859139205478,44.8576096351792,38.3178318448008,41.3563202481323,44.4142227291284,47.4905265941703,50.5844661480831,42.602130997806,46.083425860846,49.5967934717834,53.1356142723307,56.6942690478965,47.1426539862476,51.1092019915234,55.1091688862141,59.138355696779,63.1919830033351
13,1091NP,MFH_1964,42.9989129097738,28.342398655919,30.5728892635016,32.8189407806885,35.0780445151761,37.3502881834785,31.9083030177274,34.5194657532766,37.1532418061652,39.8050348310535,42.4704063723272,35.687569028475,38.7079643889873,41.7503590512404,44.8125951889867,47.8918132438663,39.6651796209447,43.1176314433937,46.6052926746094,50.124461677696,53.6684018243695,43.8598534992494,47.7965180229291,51.7700585691438,55.7761243987933,59.8105577491083
14,1091NR,MFH_1964,41.4727405204213,28.5228038695672,30.7668405194018,33.0273845859825,35.3001557370745,37.5866546469275,32.0939140433519,34.7209636891762,37.3717853793643,40.0394726017444,42.7208023173031,35.8777959513737,38.915433482525,41.9754276493728,45.0558343966391,48.1535159508928,39.8563391839379,43.3288141320412,46.8379362274456,50.3791352349363,53.9451465268955,44.0539979100672,48.0146694765674,52.0129431648912,56.0438735712613,60.1042206035478
15,1091NV,MFH_1964,55.0137463196205,29.3614744918918,31.5789942444074,33.8104532916708,36.0556820183699,38.3130767888257,32.9672338964443,35.5652778920869,38.1832748162735,40.8171847406589,43.4629214781765,36.785582965475,39.7877277326401,42.8115370010448,45.8528320661796,48.9119675782428,40.7992209371398,44.2341314635885,47.7028262763121,51.2001706572231,54.7206752380359,45.0405134969206,48.9561909160047,52.9050204188364,56.8843498387159,60.8914344915004
16,1091PA,MFH_1964,32.769905377188,29.9395190565042,32.1695892669043,34.4132308101757,36.6694956242549,38.9371020696858,33.7354717750376,36.3443103364913,38.9739009231116,41.6204688433497,44.2802569623614,37.752182500716,40.7688984299121,43.8073320030433,46.8647794875581,49.939432542854,41.9832605929636,45.434522524613,48.9177201024368,52.4317121406179,55.9692652767462,46.4555678102448,50.3882697030786,54.3575422121747,58.3573107176451,62.3844676827264
17,1091PB,MFH_1964,55.5503380186866,35.8232714224855,37.2442398429578,38.6737176353934,40.1090697954061,41.5475887955528,38.6741044250281,40.3277026364192,41.9946692645595,43.6728286177539,45.3584336714162,41.6674935823092,43.5804100694132,45.51007938257,47.4509172464288,49.3988865441773,44.8261386110151,47.011137431777,49.2122363710833,51.4274289577039,53.6556515201434,48.1358249920705,50.6105292492214,53.1119219911664,55.635893578037,58.1739346378697
18,1091PD,MFH_1964,45.1360073114113,42.6849464899058,44.8744496177499,47.0736411412815,49.2813025812883,51.4959925660192,47.6627461213855,50.213141988586,52.7789323004679,55.3593295033937,57.9513319778409,52.8932910323856,55.8403761806773,58.809319657276,61.7938953305973,64.7923200603308,58.4085588724758,61.7797639436361,65.1709847647825,68.5817161128271,72.0108286655731,64.2034379727656,68.023206848552,71.874656183856,75.755869102844,79.6628186803146
19,1091PG,TH_1964,43.0074937948796,41.5285123910217,43.7233521547474,45.9285121299758,48.1422722814566,50.3643708646949,46.4333611720206,48.9960828229556,51.5762665708899,54.1703227770398,56.775914436989,51.6096202979205,54.5746058450388,57.5570534891562,60.5544205694679,63.5643139934513,57.0592341563959,60.4454600755584,63.8535042679522,67.28407718292,70.7369357720023,62.791700333395,66.6421301137925,70.5240253216522,74.4309919128908,78.3591037200888
20,1091PH,MFH_1964,45.5488413515613,42.6922353240997,44.8909698792499,47.0993760740296,49.3164722006568,51.5422400793577,47.7847353642351,50.3553371912269,52.9420099382043,55.5417539425005,58.1515695414484,53.1661120090912,56.1388867907482,59.1278415710334,62.1313219905364,65.146001150663,58.8274026302144,62.2239661175129,65.6429816253797,69.0837583224127,72.5460780513271,64.7942225288036,68.6611331222906,72.5559860280151,76.4736181902352,80.4120661933871
21,1091PK,MFH_1964,43.7660382400579,36.8176620759125,39.0040348112765,41.2012420395523,43.4064903371531,45.6211764158722,41.0963689368923,43.6415968380364,46.205560630238,48.7862450579093,51.3807968383867,45.5886529841112,48.5341784852487,51.5035278989768,54.4906953645837,57.4924085858679,50.3367148667561,53.7045661081717,57.0949842215638,60.508308408368,63.9455562728908,55.3234149358191,59.1405684081514,62.9951537565472,66.8825418790628,70.7944921761169
22,1091PP,MFH_1964,36.1846987590731,20.295703472125,22.0821098833181,23.887591419066,25.708585014075,27.5392879620095,22.3824253866494,24.4712342394173,26.5863461491931,28.7207367872548,30.8672418473152,24.5906223772247,27.0101218649532,29.4554917517611,31.9225963368609,34.407948906358,26.9255117894596,29.6899159976242,32.4937811539172,35.3284031988353,38.1885011606038,29.3832506029301,32.530684330174,35.7258504071211,38.9573215743651,42.2155539070118
23,1091PR,MFH_1964,36.1386073300724,26.7976744536802,29.042166746826,31.3012384486533,33.5744905437666,35.8620458061338,30.0699383251427,32.6884154710882,35.334271211863,38.0017965579624,40.6866790737657,33.5255804643266,36.5598009588849,39.6185915937581,42.6992206481616,45.7979128225842,37.1712767057335,40.6342238960042,44.1316859179851,47.6666860806344,51.2313668500101,40.9991695154214,44.9393698121949,48.9275593836495,52.9515529134768,57.0085266004162
