,postcode,archetype,l_pc6_consumption_kwh_m3,case1_kwh_m3,case2_kwh_m3,case3_kwh_m3,case4_kwh_m3,case5_kwh_m3,case6_kwh_m3,case7_kwh_m3,case8_kwh_m3,case9_kwh_m3,case10_kwh_m3,case11_kwh_m3,case12_kwh_m3,case13_kwh_m3,case14_kwh_m3,case15_kwh_m3,case16_kwh_m3,case17_kwh_m3,case18_kwh_m3,case19_kwh_m3,case20_kwh_m3,case21_kwh_m3,case22_kwh_m3,case23_kwh_m3,case24_kwh_m3,case25_kwh_m3
0,1094SH,MFH_75_91,36.5318115948058,13.6017047851279,15.5232020481804,17.463411330738,19.4185064033787,21.385026083304,15.6417610792788,17.9013455964819,20.1831709172153,22.4864663874965,24.8110697643817,17.7986458131288,20.4263325290645,23.0929440312394,25.7921798853405,28.5178748595077,20.0948837153596,23.1419954812138,26.2424851755406,29.3876863210981,32.5748407878437,22.5764571402609,26.0958040342033,29.6921081644339,33.3511056721539,37.055977372201
1,1094ME,MFH_75_91,40.0536328445963,12.7768395905164,14.7050942345973,16.6536526285378,18.6175516334835,20.5938396857972,14.7000558966691,16.9693759388558,19.2624682881699,21.5785245545706,23.9168303468592,16.7383925845494,19.3781244632965,22.0586894389836,24.7741843843367,27.5178225829675,18.9057520828806,21.9697007353162,25.088713909362,28.256023688398,31.4649749544148,21.2554035353917,24.7967159067504,28.4179178938764,32.1053984644564,35.8349905162268
2,1094SB,MFH_75_91,66.3655239539725,13.1980812073122,15.1545761831649,17.1268548519538,19.1134147275245,21.1105830659439,15.1259227098343,17.4271699633231,19.7524569952841,22.1033621750111,24.4698992813961,17.1688485811411,19.8567659583143,22.5804091173837,25.3372283848751,28.1210468732643,19.365073570092,22.4885298125409,25.6675021595678,28.8974224461978,32.1667109054016,21.7455124675633,25.3714820338725,29.0698896447828,32.8097749795344,36.5837166671217
3,1094SN,MFH_1964,46.3136810781934,23.2710050219516,24.7745126861512,26.2873492500252,27.8086293318916,29.3355672186531,25.9075636977691,27.6790396861823,29.4614209855575,31.2544268651176,33.0570207804541,28.7193199732598,30.7848938428452,32.8660374732299,34.9640681395993,37.0779492975453,31.739248917412,34.1339904206495,36.5561571613559,39.0029202370836,41.4712347986333,34.9978422115689,37.7720021575846,40.5849245455346,43.4334565528438,46.3120267533178
4,1094SR,MFH_1964,51.9555671045303,24.1499640057407,26.081027272683,28.0239372873079,29.9760469741258,31.9352299938092,27.5124658896491,29.78528396016,32.0714892894991,34.3703224707635,36.6813712544919,31.0884045079048,33.7344819197776,36.4008246472833,39.0882788866849,41.7956078895979,34.915923784365,37.9804343996421,41.0790098388417,44.2071370552275,47.3639481551964,39.0308460274984,42.5718085335484,46.1621107909358,49.7960030045398,53.4700569946283
5,1094SP,MFH_1964,38.1638180983538,20.8155760938276,22.1879797602964,23.569317258039,24.9585541434342,26.3532140211465,23.0607680555856,24.6771541316965,26.3041981117833,27.9418790979949,29.5885670579586,25.4537391702159,27.3380252463618,29.2380265064093,31.1545161708429,33.0853522099419,28.0228373725091,30.2067672842571,32.4176867704851,34.651520750261,36.9060018067586,30.7930982878829,33.3211844577203,35.8872106759263,38.4873735336314,41.1166053019842
6,1094NR,MFH_1964,48.9286600747692,25.1359533914644,27.0968009287176,29.0676671819954,31.0467040386328,33.0337169604548,28.5680283019406,30.8775530952684,33.1995607548403,35.5345052030652,37.8813164799792,32.2321872554688,34.9238822940404,37.6368468397707,40.3715996611269,43.1264223375613,36.1607235891377,39.2865954117984,42.4461871848326,45.6369374889333,48.856122789647,40.3966302396735,44.0211682515128,47.6922333102618,51.4060319215035,55.1549446733746
7,1094SC,MFH_75_91,38.8026801068804,14.0820401731292,15.9950772873583,17.9256674198124,19.8701133796449,21.8252500950656,16.1111414373934,18.3607334888575,20.6312302175383,22.9228734957344,25.2341084300989,18.2561617283137,20.8710776992453,23.5239192465624,26.2075822353296,28.9176231258941,20.5386760549053,23.5713953234151,26.6553155021725,29.7841064475973,32.9507331311252,23.0032027413437,26.5049054857679,30.0794325239148,33.7156853726072,37.3926764269833
8,1094LW,MFH_75_91,37.188405989729,14.7299664669459,16.6572141251897,18.6009537459602,20.5580552946727,22.5257562786827,16.8963653661123,19.1634351882212,21.4508976598956,23.7592388849915,26.0870479767076,19.189684796441,21.8295369950848,24.5052186047677,27.2095921981415,29.9411757512555,21.640738999921,24.7063114706289,27.8209567184018,30.9802286713868,34.1768120593618,24.2969645991753,27.8435309072232,31.4597760533507,35.1317690124183,38.8401723359138
9,1094EW,MFH_75_91,38.4376108951635,12.4186040419302,14.3359126845183,16.2748151439067,18.2283886964743,20.1947280054445,14.3340073477418,16.5908152482908,18.8723290157085,21.1771831586385,23.5038851632724,16.3645882616933,18.9919841652733,21.6598684753541,24.3619535805732,27.0918248471165,18.5285427500004,21.5789869291913,24.6855750320633,27.8407174671233,31.0393650919136,20.8770608607254,24.4056493039812,28.0169293633374,31.6905456908985,35.4027450881839
