,postcode,archetype,l_pc6_consumption_kwh_m3,case1_kwh_m3,case2_kwh_m3,case3_kwh_m3,case4_kwh_m3,case5_kwh_m3,case6_kwh_m3,case7_kwh_m3,case8_kwh_m3,case9_kwh_m3,case10_kwh_m3,case11_kwh_m3,case12_kwh_m3,case13_kwh_m3,case14_kwh_m3,case15_kwh_m3,case16_kwh_m3,case17_kwh_m3,case18_kwh_m3,case19_kwh_m3,case20_kwh_m3,case21_kwh_m3,case22_kwh_m3,case23_kwh_m3,case24_kwh_m3,case25_kwh_m3
0,1097EZ,SFH_1964,141.627850808421,93.3166117599229,97.1838535149976,101.083816285254,105.011656174186,108.961441879947,108.008182818312,112.72511651446,117.468905827299,122.238034979689,127.031713131386,123.777603228772,129.388219354683,135.037982072776,140.728736676958,146.46410785169,140.479885612854,147.115463649379,153.806367551454,160.543963979725,167.32218982564,158.319725787587,166.064984496089,173.870412966649,181.731859287973,189.651267609001
1,1097HN,TH_75_91,120.256495972445,62.0757922706052,66.8399897909518,71.6723817015695,76.5627280224877,81.5007209379063,71.8771102348744,77.6937063528809,83.5818208168018,89.5309455336265,95.5394976673341,82.4379375274236,89.3735664092834,96.4059873289473,103.533401021796,110.727842974704,93.6142069978714,101.803296645628,110.107694282352,118.516332977011,127.012576799999,105.479352546745,115.031347995535,124.721276297556,134.531080201063,144.457012584047
2,1097HP,TH_75_91,107.624125909,64.2518693789476,69.060271220897,73.9342836861538,78.8614221831024,83.8306177121414,74.2912479447063,80.1580967186542,86.0896959112729,92.0802281626789,98.1329457180289,85.0595814851383,92.0526034528222,99.1549101572926,106.33418321955,113.581704349361,96.4616688540816,104.723921471258,113.103606228895,121.579024271298,130.131137435792,108.578878177193,118.218982298992,127.990932801106,137.877964734313,147.884159550042
3,1097HR,MFH_75_91,53.5660946165353,22.0257504593869,24.6712947284755,27.3525311086356,30.0640257047522,32.8065983676673,25.8875339193166,29.0991756616026,32.3633450566675,35.6677443418825,39.0016582574067,30.0816048321069,33.9263811536414,37.8320742993605,41.7875304845544,45.7781449244577,34.5861704184017,39.1247121488895,43.7263823942053,48.3908570272721,53.1137889319977,39.388932915572,44.6839681775696,50.078186325141,55.5458097225123,61.0700028279762
4,1097HS,MFH_75_91,42.1898857612864,15.9027671810707,18.1830201106206,20.4982275005141,22.8453279154275,25.2187271663152,18.902801669501,21.6820808517513,24.5052406069761,27.3611171469263,30.2425548275921,22.2179303927842,25.5439278262129,28.9218344160154,32.3400683466294,35.7912526654675,25.8051948970191,29.7297336735532,33.7190666836472,37.7693825017976,41.8640829846826,29.6448987187973,34.2441827586652,38.9247362262052,43.660125041312,48.430677330419
5,1097HT,MFH_75_91,38.3527497413857,15.9233249530305,18.1966706522943,20.50431629314,22.8438101284925,25.2081279029812,18.9219709895478,21.6921264573927,24.5058249532931,27.3508322593436,30.2217054970373,22.2318785759958,25.5459786499424,28.9122273841783,32.3175814842635,35.7561567572175,25.8108899214167,29.7221620304673,33.6979150875955,37.7343488848346,41.8138108432432,29.6413769643398,34.2270021064215,38.8904702181404,43.6056701931459,48.3565430880953
6,1097HW,MFH_75_91,49.330321208591,21.9269812437087,24.5777597070791,27.2636463380512,29.9824496713861,32.7326043747702,25.7531304714291,28.9716326029964,32.2429386112706,35.5566278554222,38.9000285976758,29.9071348252191,33.7606400986078,37.6772804419722,41.642475902907,45.6478631344805,34.3652757935484,38.9152197750796,43.531459307067,48.2095220114721,52.9456510907426,39.1202186764339,44.4272915360889,49.834366768683,55.3157132925684,60.8550516516853
7,1097HZ,TH_75_91,89.9794493220468,51.5069232559938,55.8231191918168,60.2031997470743,64.6353643888286,69.1118693267938,59.6211743566421,64.8837829366238,70.2165015360739,75.6101339914218,81.0649410696891,68.34482478329,74.6246822135412,81.0055257989532,87.4696101786662,93.9991833901236,77.5870946039498,85.0022260189389,92.5336727289387,100.162758533848,107.872880166344,87.40075448158,96.0542255709437,104.844747884805,113.751493069922,122.776342609869
8,1097JE,MFH_75_91,51.0119460599295,21.8822414066509,24.5539797622783,27.263304250475,30.0051778660722,32.7790062424602,25.6934611455669,28.9371715861284,32.233236658414,35.5759645465831,38.9505061593981,29.831854518215,33.7131188510079,37.6601765453152,41.6592362809849,45.7018056673023,34.2711384316245,38.8554276498325,43.509842054,48.2275413911079,53.0054127919618,39.0078776482703,44.3526136108173,49.8024819452467,55.3323076997251,60.9251967589165
9,1097JG,TH_75_91,84.1558469127786,49.7532048288938,53.9732752608405,58.255207201916,62.5897778368369,66.9676467610139,57.6112150671962,62.7563033624126,67.9701750453544,73.2435628074874,78.5767653892101,66.0628415459876,72.2025415049825,78.4407145623775,84.7602149261484,91.1437251874462,75.024846927195,82.2746630291761,89.6371519327573,97.096953932127,104.633411446533,84.5442637550565,93.0043375953308,101.597223789394,110.306396272643,119.131410112572
10,1097MC,MFH_1964,84.5872035261524,59.4135849038427,62.5715770142083,65.7653725590718,68.9851901877714,72.2267851632275,68.6323694872489,72.4916198462403,76.3806295032359,80.2958919363001,84.2356538844653,78.5466911519127,83.1373743035527,87.7697204723985,92.442576197287,97.1579254314184,89.0328988611661,94.4467380371324,99.9279854834614,105.459247005816,111.03184857625,100.196926488214,106.53113539532,112.931829803858,119.38932064006,125.905914826251
11,1097MD,MFH_1964,84.3509686331004,54.493223754318,57.1576025179654,59.8476748654608,62.5563521205462,65.2804455259404,63.2438390140815,66.4921732927763,69.7605118617528,73.0488088396113,76.354655452866,72.6611339526034,76.5267336425486,80.4233262180107,84.3536186815735,88.3156840144485,82.6668807833461,87.2390081477141,91.8506393972487,96.496131119783,101.174473924523,93.3520852626716,98.6874267708273,104.069108492709,109.499011565706,114.971354933451
12,1097ME,MFH_1964,85.5440797991502,52.8070405826491,55.5656520826567,58.3547532448931,61.1681494838045,64.0007445446092,61.1235133212333,64.4951251916698,67.8932288003253,71.3122446268783,74.7532710021008,70.0905932758772,74.102312320194,78.1439938279689,82.2183616595165,86.32958947177,79.580610477652,84.3049704600271,89.0856528443867,93.9085989968502,98.7697231269459,89.6791468603063,95.2053761726513,100.786434157131,106.416697360193,112.098318510151
13,1097ML,MFH_1964,86.3502076841433,54.9378072448968,57.7391458645017,60.5711499035195,63.425867375396,66.2991851836378,63.5290146952396,66.951796493946,70.3993482737579,73.8692935789235,77.3584333343924,72.7681262454589,76.8390863504749,80.9436367435214,85.0838796739174,89.261688885621,82.5427629591371,87.3481849946825,92.2072143878605,97.108334468489,102.045741200405,92.9627902137235,98.5817370346188,104.254382615291,109.976979467823,115.749116282567
14,1097MN,MFH_1964,122.240020374536,79.2528995835292,82.9773375264386,86.7412422876306,90.5339065885452,94.354211510264,91.185438672761,95.7397987185237,100.326635108931,104.944701523405,109.589588756703,103.973108775724,109.391684127426,114.856085301956,120.364600685722,125.922802716505,117.467043823457,123.85762182383,130.320375633637,136.840737150131,143.409400513,131.822939721685,139.2979274084,146.845755608857,154.456675326541,162.134619395274
15,1097NA,TH_1964,130.3424907583,78.575831976135,82.2931777709974,86.0476488818124,89.8333171255895,93.645911299664,90.417156382616,94.9615760701289,99.5403277182477,104.15091466067,108.78797970087,103.122137000769,108.53142204776,113.984572290137,119.482164312271,125.027002665322,116.532571394807,122.90606784805,129.353008834662,135.8596794837,142.415835626258,130.787416397948,138.244275697439,145.774523551234,153.36808372762,161.030890007494
16,1097NC,MFH_1964,109.71542333805,57.8294888705024,60.948502368314,64.1040216084277,67.2840430077816,70.4876384542831,66.7821199881968,70.5954850794231,74.4365697851433,78.3042603708463,82.1966387382079,76.4001456020222,80.9350869080411,85.5118551323587,90.1288415473482,94.79210981868,86.5656336021008,91.9210259978255,97.3384162813244,102.804563386745,108.312970529442,97.4035078760733,103.666593898192,109.98988345804,116.37164407971,122.81478384776
17,1097NH,MFH_1964,100.000262471482,60.3390913150024,63.533607747136,66.7631854017882,70.0184067455058,73.2974264507879,69.5785824804438,73.4799229774369,77.4081161711683,81.3637983814661,85.3451242808294,79.4694106217496,84.1101547587919,88.7951231238749,93.5237430291537,98.2970962183355,89.9196275237846,95.4073769837782,100.953667867941,106.547173683336,112.184903726771,101.070941612228,107.484536421853,113.956990815561,120.489259273094,127.083887073764
18,1097NJ,MFH_1964,89.4360085718263,48.8651072488201,51.6130931457567,54.389667910005,57.1860186971409,60.0033088026284,56.6627119952395,60.011592876387,63.3854317329435,66.7817609684703,70.2006510857227,65.0440443049317,69.0288600397203,73.0542501102373,77.1197209971951,81.2207252728707,73.9409985161875,78.6561522940879,83.4207637548961,88.2263020652097,93.0693478413922,83.4445936862188,88.9518811723325,94.5156061141379,100.134358456527,105.804190045199
19,1097NL,MFH_1964,76.7959832270887,44.5523619252414,47.1913675075376,49.8605358143961,52.5503989580042,55.2615777834643,51.5963152467604,54.8149314693182,58.0579158621485,61.3237680495871,64.611970660715,59.1672108490136,62.9932205301692,66.8595851429863,70.7667703212918,74.7092919333471,67.1909094793458,71.7145938444189,76.2900153013658,80.9069299059954,85.5614573764172,75.7532429731756,81.0364278469554,86.3769891556231,91.7718226736664,97.2195832366965
20,1097NP,TH_1964,304.357015927521,222.098992911273,229.666155051017,237.281220370413,244.948622908498,252.672112150917,253.947932983692,263.198209668484,272.510251739186,281.874677702672,291.282588364803,287.912174164176,298.931010104196,310.016963393035,321.17471699824,332.403570808384,323.648755201595,336.614663252743,349.698190023658,362.89280114102,376.17438165567,361.559322242708,376.730736869806,392.025215527771,407.429378309329,422.941824991624
21,1097NS,MFH_1964,90.9570872568689,47.0337908295791,49.9446094858517,52.8935822793011,55.8700491483179,58.8719224975035,54.250963457555,57.8129342104639,61.4035094620245,65.024510306095,68.6711841318747,61.9803520458591,66.2202583001976,70.5001397855711,74.8314116512862,79.202392246496,70.1443602293599,75.1568100319108,80.2234928978991,85.3382348749762,90.499259286207,78.8543856518749,84.7032061215241,90.615498374672,96.5895745682307,102.626278623744
