Dwelling type;postcodes;pc6_consumption_Wh;case1_annual_h_wh;case2_annual_h_wh;case3_annual_h_wh;case4_annual_h_wh;case5_annual_h_wh;case6_annual_h_wh;case7_annual_h_wh;case8_annual_h_wh;case9_annual_h_wh;case10_annual_h_wh;case11_annual_h_wh;case12_annual_h_wh;case13_annual_h_wh;case14_annual_h_wh;case15_annual_h_wh;case16_annual_h_wh;case17_annual_h_wh;case18_annual_h_wh;case19_annual_h_wh;case20_annual_h_wh;case21_annual_h_wh;case22_annual_h_wh;case23_annual_h_wh;case24_annual_h_wh;case25_annual_h_wh;volume_CitySim;address_nu;avg_consumption_yr_17
MFH_1964;1094NR;124094038.9;37329190;43629200;50544300;58021900;66038400;68083000;78121600;88827600;100228600;112464400;93745000;107072500;121109300;135727900;151577600;115081400;130957500;147717800;165009400;183831300;132585900;150852500;169835600;189820000;210924600;2943.105774;14;796
MFH_1964;1094NS;266739824.9;80567350;91648230;103826400;116995000;131097600;138460100;156142400;174450200;195088400;217896200;230428300;221647900;237935500;297825800;291636400;243985000;254888900;284388200;372580000;365031700;320278400;294927800;347952400;368033300;405221800;6706.46698;29;826
MFH_75_91;1094ME;557710503;114941400;134688700;156472500;180063000;205380700;153474200;178087000;204815800;233619300;264567800;190707700;220123800;251673100;285392400;321750500;226436400;260526700;296694700;335119400;376476100;260447300;298825900;339453100;382686100;428846000;10103.97973;38;1318
MFH_1964;1094SR;188011822.8;53507420;62610400;72689200;83624500;95345000;97655600;112329000;127997200;144649900;162510500;134800400;154261100;174841700;196327300;219428900;165787500;189009700;213624000;239111500;266584400;191417500;218099900;246031500;275435000;306339600;4357.772462;21;804
;1094LW;306805362.6;101448600;118509300;137211300;157426200;179096300;136341300;157677000;180796200;205704400;232454500;169724500;195469600;222998900;252265100;284036400;201973800;231911100;263613400;297017500;333389000;232359900;266419200;302082600;340145800;380698000;7962.32496;28;984
MFH_1964(+Others);1094SP;322038729.9;97003160;110109430;124666760;140484030;157448300;160054960;180776320;202274910;226590370;253688870;271996900;256518700;273765600;349503400;336649400;281721900;290944700;325389300;438784400;423027600;376471900;336552600;402568700;422798800;466182200;9187.347595;40;723
MFH_75_91;1094EW;114250254.8;34087800;39975500;46484500;53522900;61076200;45118500;52426500;60366900;68943900;78153200;55749700;64491700;73858400;83851200;94693600;66036800;76146800;86876500;98217800;110547000;75752500;87200900;99229800;112080000;125777000;2974.18213;10;1026
;1094SC;509560590.6;164540700;192034300;222233900;254903900;289921300;222103200;256579900;293869400;333971300;377047000;277215300;318668000;362989300;410121900;461006100;330039200;378221000;429214600;483087200;541159100;380009200;434513100;491913900;552861800;617735800;13582.71729;44;1040
;1094SH;238700629.8;85276900;99708000;115582600;132741900;151130000;114273900;132297200;151815100;172831500;195384100;142042200;163690400;186823900;211427600;238121600;168776000;193883200;220453700;248497400;278970700;193989000;222444600;252303500;284148400;318097900;6998.04517;23;932
MFH;1094SB;383039012.1;72178600;84448100;97963000;112563700;128200100;95238900;110378100;126789100;144482300;163482200;117334600;135374900;154677800;175234400;197548000;138677400;159477000;181531900;204803900;230144000;158767900;182300700;206975700;233304000;261401000;6272.49633;21;1638
