pc6_kWh_m3;case1_annual_h_kWh_m3;case2_annual_h_kWh_m3;case3_annual_h_kWh_m3;case4_annual_h_kWh_m3;case5_annual_h_kWh_m3;postcodes;address_nu;case1_annual_h_wh;case2_annual_h_wh;case3_annual_h_wh;case4_annual_h_wh;case5_annual_h_wh;volume_CitySim;avg_consumption_yr_17;pc6_consumption_Wh
42.164315;47.56291848;52.43793864;57.49912269;62.75951807;68.28038658;1094NR;14;139982700;154330400;169226000;184707900;200956400;2943.105774;796;124094038.9
39.77352393;42.47683629;46.2427685;50.14980332;54.21528222;58.48492227;1094NS;29;284869500;310125600;336328000;363593000;392227200;6706.46698;826;266739824.9
55.19711222;25.12020083;27.94293017;30.91564001;34.05565027;37.37454054;1094ME;38;253814000;282334800;312371000;344097600;377631600;10103.97973;1318;557710503
43.14402013;46.39349616;51.22468003;56.26028026;61.47611018;66.93018108;1094SR;21;202172300;223225500;245169500;267898900;291666500;4357.772462;804;188011822.8
38.53213278;28.35683059;31.49856371;34.80449509;38.29790941;41.98188364;1094LW;28;225786300;250801800;277124700;304940400;334273400;7962.32496;984;306805362.6
35.05241601;35.69205329;38.89457717;42.2357047;45.7053677;49.3421083;1094SP;40;327915300;357338000;388034100;419911100;453323100;9187.347595;723;322038729.9
38.41400755;24.95529754;27.80293754;30.8064187;33.98211528;37.33160753;1094EW;10;74221600;82691000;91623900;101069000;111031000;2974.18213;1026;114250254.8
37.51536454;27.10312614;30.06295363;33.16986509;36.44598422;39.90210415;1094SC;44;368134100;408336600;450536900;495035500;541979000;13582.71729;1040;509560590.6
34.10961547;26.98812246;29.98345894;33.13515337;36.46551198;39.98186539;1094SH;23;188864100;209825600;231881300;255187300;279794900;6998.04517;932;238700629.8
61.06643862;24.75950432;27.53425286;30.45744309;33.54611767;36.8059203;1094SB;21;155303900;172708500;191044200;210417900;230865000;6272.49633;1638;383039012.1
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;postcodes;pc6_kWh_m3;case1_annual_h_kWh_m3;case2_annual_h_kWh_m3;case3_annual_h_kWh_m3;case4_annual_h_kWh_m3;case5_annual_h_kWh_m3;;;;;;;
;;1094NR;42.164315;47.56291848;52.43793864;57.49912269;62.75951807;68.28038658;;;;;;;
;;1094NS;39.77352393;42.47683629;46.2427685;50.14980332;54.21528222;58.48492227;;;;;;;
;;1094ME;55.19711222;25.12020083;27.94293017;30.91564001;34.05565027;37.37454054;;;;;;;
;;1094SR;43.14402013;46.39349616;51.22468003;56.26028026;61.47611018;66.93018108;;;;;;;
;;1094LW;38.53213278;28.35683059;31.49856371;34.80449509;38.29790941;41.98188364;;;;;;;
;;1094SP;35.05241601;35.69205329;38.89457717;42.2357047;45.7053677;49.3421083;;;;;;;
;;1094EW;38.41400755;24.95529754;27.80293754;30.8064187;33.98211528;37.33160753;;;;;;;
;;1094SC;37.51536454;27.10312614;30.06295363;33.16986509;36.44598422;39.90210415;;;;;;;
;;1094SH;34.10961547;26.98812246;29.98345894;33.13515337;36.46551198;39.98186539;;;;;;;
;;1094SB;61.06643862;24.75950432;27.53425286;30.45744309;33.54611767;36.8059203;;;;;;;
