postcodes;pc6_metered_kWh_m3;case1_annual_h_kWh_m3;case2_annual_h_kWh_m3;case3_annual_h_kWh_m3;case4_annual_h_kWh_m3;case5_annual_h_kWh_m3
1094NR;42.164315;47.56291848;52.43793864;57.49912269;62.75951807;68.28038658
1094NS;39.77352393;42.47683629;46.2427685;50.14980332;54.21528222;58.48492227
1094ME;55.19711222;25.12020083;27.94293017;30.91564001;34.05565027;37.37454054
1094SR;43.14402013;46.39349616;51.22468003;56.26028026;61.47611018;66.93018108
1094LW;38.53213278;28.35683059;31.49856371;34.80449509;38.29790941;41.98188364
1094SP;35.05241601;35.69205329;38.89457717;42.2357047;45.7053677;49.3421083
1094EW;38.41400755;24.95529754;27.80293754;30.8064187;33.98211528;37.33160753
1094SC;37.51536454;27.10312614;30.06295363;33.16986509;36.44598422;39.90210415
1094SH;34.10961547;26.98812246;29.98345894;33.13515337;36.46551198;39.98186539
1094SB;61.06643862;24.75950432;27.53425286;30.45744309;33.54611767;36.8059203
;;;;;;
;;;;;;
;;;;;;
;;-0.128037263;-0.243656837;;;
;;-0.067967635;-0.162652034;;;
;;0.54490009;;;;
;;-0.075316951;;;;
;;0.264073163;;;;
;;-0.018248023;;;;
;;0.350359436;;;;
;;0.277545974;;;;
;;0.208782565;;;;
;;0.594548088;;;;
