"buildingID","case1_annual_h_wh","case2_annual_h_wh","case3_annual_h_wh","case4_annual_h_wh","case5_annual_h_wh","case6_annual_h_wh","case7_annual_h_wh","case8_annual_h_wh","case9_annual_h_wh","case10_annual_h_wh","case11_annual_h_wh","case12_annual_h_wh","case13_annual_h_wh","case14_annual_h_wh","case15_annual_h_wh","case16_annual_h_wh","case17_annual_h_wh","case18_annual_h_wh","case19_annual_h_wh","case20_annual_h_wh","case21_annual_h_wh","case22_annual_h_wh","case23_annual_h_wh","case24_annual_h_wh","case25_annual_h_wh"
"363100012076895","9364780","11301800","13428000","15711500","18127100","16491100","19524200","22822100","26362800","30177700","22695000","26676000","30982200","35579600","40581900","27895900","32655300","37790300","43269700","49248800","32212600","37662400","43493400","49792900","56555300"
"363100012078434","7600000","9144980","10837100","12647500","14560200","13816300","16255800","18897600","21726900","24770100","19124800","22338100","25789500","29467400","33452500","23554500","27393700","31509900","35885100","40649300","27220400","31618000","36288400","41316700","46703500"
"363100012130585","8602660","8602470","8602270","8602050","8601820","10729300","10728400","10425100","10726400","11434000","37607400","19123200","14212200","33688600","14207700","23924900","14007900","14005300","47433000","23907900","50026900","16907000","28373200","19516500","19511800"
"363100012125241","22449600","26950500","31861600","37114100","42669800","30142000","35766400","41865200","48415700","55379100","37591100","44293100","51553100","59308500","67650000","44770900","52522700","60877600","69778600","79407900","51597400","60338900","69728000","79805100","90645700"
"363100012107394","40731200","49011200","58035900","67686800","77892900","54103800","64455300","75719500","87793300","100633000","67098600","79499300","92933900","107312000","122799000","79784200","94173300","109691000","126218000","144207000","91841300","108170000","125668000","144511000","164838000"
"363100012105676","27323400","32798800","38770900","45146800","51885000","36674000","43537700","50979800","58968000","67455800","45738400","53941000","62827100","72324500","82524300","54501500","64013800","74272600","85188200","97001800","62840700","73598300","85148500","97530900","110868000"
"363100012081736","8004190","9623280","11388500","13273400","15261700","14506200","17047400","19802900","22744900","25912600","20019300","23368800","26958300","30768100","34935100","24617900","28602800","32880600","37402600","42381100","28387100","32961700","37803900","43027900","48629000"
"363100012082530","22176100","26623500","31471400","36657900","42162200","29764000","35306800","41318000","47783700","54679500","37107300","43714300","50874300","58525700","66783600","44198700","51843800","60082500","68860100","78386900","50936700","59570200","68830800","78781400","89489800"
"363100012098259","97298700","97298400","97298100","97297700","97297400","120351000","120350000","117043000","120347000","127992000","409586000","210723000","158107000","367694000","158100000","262514000","155894000","155889000","515051000","262487000","542596000","187451000","310599000","215718000","215710000"
"363100012217414","602226","602204","602179","602153","602125","796147","796103","768339","796000","861447","3144170","1548800","1112320","2751630","1112120","1973630","1090570","1090460","3994410","1972920","4144970","1349790","2365620","1586150","1585930"
