"buildingID","case1_annual_h_wh","case2_annual_h_wh","case3_annual_h_wh","case4_annual_h_wh","case5_annual_h_wh","case6_annual_h_wh","case7_annual_h_wh","case8_annual_h_wh","case9_annual_h_wh","case10_annual_h_wh","case11_annual_h_wh","case12_annual_h_wh","case13_annual_h_wh","case14_annual_h_wh","case15_annual_h_wh","case16_annual_h_wh","case17_annual_h_wh","case18_annual_h_wh","case19_annual_h_wh","case20_annual_h_wh","case21_annual_h_wh","case22_annual_h_wh","case23_annual_h_wh","case24_annual_h_wh","case25_annual_h_wh"
"363100012076895","13538400","15647700","17905700","20316100","22861400","24003300","27240700","30691900","34347900","38239600","32806100","37045000","41545800","46271300","51332800","40132800","45185800","50547700","56167600","62204800","46227600","52011000","58091500","64549300","71363700"
"363100012078434","10991000","12656700","14435000","16331700","18332500","19958400","22541700","25293200","28194900","31274600","27412400","30810700","34395700","38156500","42177400","33600600","37649500","41923500","46397800","51195800","38740100","43376600","48222100","53369900","58783400"
"363100012130585","10931800","10931600","10931300","10931100","10930900","13630300","13629400","13243700","13627300","14522300","47249300","24161800","18033000","42304300","18028500","30155200","17776200","17773600","59507500","30137600","62630100","21406100","35708900","24688500","24683800"
"363100012125241","32485000","37300000","42429600","47891500","53660600","43640100","49593600","55915400","62614400","69760400","54255100","61329300","68842200","76742600","85202100","64381400","72549600","81183600","90249000","99930600","73965900","83164700","92878500","103138000","114000000"
"363100012107394","58671100","67596000","77123900","87268400","97988600","78248300","89285000","101016000","113515000","126836000","96956500","110128000","124095000","138821000","154727000","114987000","130230000","146312000","163190000","181476000","132062000","149316000","167431000","186690000","207185000"
"363100012105676","39440100","45310300","51556600","58208000","65247300","53039200","60316000","68041100","76233700","84988900","65996600","74672500","83874000","93558800","103960000","78388100","88425100","99026900","110157000","122086000","90127800","101447000","113395000","126024000","139426000"
"363100012081736","11533900","13269900","15116500","17079800","19150900","20831900","23515100","26362700","29369400","32568800","28525000","32054600","35774400","39652500","43833400","34913800","39106600","43535800","48134700","53122500","40172400","44988800","49999200","55322700","60924000"
"363100012082530","32059900","36834900","41929200","47374200","53115100","43054900","48951100","55222500","61876900","68961700","53516000","60516900","67960000","75788700","84160600","63499700","71577300","80124400","89085400","98668200","72946300","82041000","91649100","101792000","112533000"
"363100012098259","122108000","122108000","122108000","122107000","122107000","151084000","151083000","146936000","151079000","160675000","510965000","263849000","198400000","458319000","198392000","328091000","195678000","195674000","642454000","328062000","675776000","234770000","387785000","270045000","270037000"
"363100012217414","734711","734688","734664","734639","734613","969234","969188","936241","969088","1048250","3809670","1884960","1351490","3339560","1351300","2398840","1327280","1327170","4839610","2398110","5025730","1636590","2873210","1921840","1921630"
"363100012106678","52375400","60338600","68859700","77941300","87530600","69022700","78752600","89144000","100241000","112009000","84852800","96416500","108700000","121629000","135624000","100128000","113437000","127491000","142196000","158229000","114518000","129575000","145311000","162078000","179934000"
