,max,max,l_pc6_consumption_kwh_m3,case1_kwh_m3,case2_kwh_m3,case3_kwh_m3,case4_kwh_m3,case5_kwh_m3,case6_kwh_m3,case7_kwh_m3,case8_kwh_m3,case9_kwh_m3,case10_kwh_m3,case11_kwh_m3,case12_kwh_m3,case13_kwh_m3,case14_kwh_m3,case15_kwh_m3,case16_kwh_m3,case17_kwh_m3,case18_kwh_m3,case19_kwh_m3,case20_kwh_m3,case21_kwh_m3,case22_kwh_m3,case23_kwh_m3,case24_kwh_m3,case25_kwh_m3
0,1094NS,MFH_1964,40.8135244189487,11.4617954418802,13.1796247709967,15.0101181921194,16.9552495060549,19.0195960985747,19.8967422988631,22.5902289526355,25.381833115676,28.5022704892095,31.8972221895491,33.3926733009054,32.1525853526206,34.6506385313311,43.6114651801116,42.7964099725592,35.2681275856479,36.9655103995215,41.4003502520649,54.6090996777456,53.605667440364,46.4602365688294,42.7948355121625,50.6918565239854,53.8567509338117,59.53640211583
1,1094SH,MFH_75_91,34.3849184015565,11.3553160273445,13.4743440743345,15.7291829854348,18.1214011091011,20.6601110906704,15.3282401108512,17.9513434636278,20.7609450801712,23.7243394870834,26.8672827516747,19.1458300960241,22.2702100638086,25.6067226804623,29.1081146886368,32.8439883111732,22.8158195631787,26.4183159657601,30.2431663226628,34.2572189923939,38.558401111713,26.2727975655192,30.3490839243991,34.6374894119029,39.2009372496901,44.0243523642432
2,1094ME,MFH_75_91,38.6615006206033,10.5897497352614,12.5917840703833,14.7330212905385,17.0206805067883,19.4624790240561,14.2548303818064,16.7335516441894,19.39832481443,22.219474458127,25.2332841282702,17.8092555916161,20.7492573710657,23.9023639250842,27.2431767665786,30.7972635805573,21.2161966184173,24.6041874786828,28.2177097604221,32.0493939544267,36.1213861878585,24.4551429148981,28.2660909643701,32.3208908096106,36.6370920344101,41.2087163124213
3,1094SB,MFH_75_91,67.8915761090638,10.7842385520017,12.8122002682747,14.970665807201,17.2588459841338,19.6908095330655,14.3342490960549,16.8174185872627,19.470429720442,22.2716709775725,25.2466390933973,17.7437847729747,20.6766832764731,23.8068627650477,27.0896584230144,30.5978573574141,21.0272633791934,24.3890533849809,27.9609638029832,31.7021543277276,35.7198630114142,24.1185603472845,27.9100462166357,31.8983577722284,36.1407109009569,40.6281362157775
4,1094SR,MFH_1964,42.2646361309314,11.4155564432197,13.5718814948518,15.8686317314688,18.3130974593368,20.9079257539453,21.2432364475108,24.6342052416016,28.2508263725035,32.0870679796751,36.1393283046632,29.5071674550402,33.9775572206715,38.6811283001211,43.6404893217504,48.9661014438963,36.3788018471041,41.6905276716001,47.2949072190682,53.1783362572795,59.5527761014561,42.0436952760498,48.1288444849663,54.48024175398,61.2637849453272,68.4525042652912
5,1094SP,MFH_1964,34.6266837380185,10.0907091342783,11.5862136814527,13.1819913418661,14.8849310920786,16.6993389342749,16.8500876717648,19.1635685859089,21.5636157128652,24.2709866356413,27.2381105312663,28.9407441279626,27.3051424779188,29.2542118919569,37.5764257625386,36.2762137221177,29.8952430203996,30.9706673272602,34.7706698473552,47.232894272711,45.6361626254025,40.1155773444449,35.8534710955951,43.0688407404386,45.4305800168496,50.3161840972095
6,1094NR,MFH_1964,43.21694665695,11.8894729327631,14.1010347856498,16.4591292767273,18.9620898622943,21.6169847627178,22.0245746628585,25.4894941019198,29.1848764325728,33.0910732991191,37.2194651848099,30.4761235706767,35.0387246634858,39.8309780721566,44.8786601049072,50.304783734543,37.4828374510451,42.8939492181588,48.5947607512225,54.574831834832,61.0651765520757,43.2197033925852,49.4254711824933,55.8745413835586,62.7825919860551,70.084614816426
7,1094SC,MFH_75_91,35.5860530474095,11.1894548036616,13.2485067691019,15.4430555960926,17.7720854209805,20.2446215358136,15.2271327400135,17.7838127721332,20.5228576065915,23.4149937846479,26.4804349198094,19.1057900061387,22.1510589916156,25.4052849109783,28.8333617277769,32.4691031893242,22.8145769017956,26.3312066223483,30.0661710113266,34.0018617654089,38.1864598464317,26.3186845479295,30.2902484191795,34.4825242180165,38.9377704902853,43.6419240894946
8,1094LW,MFH_75_91,33.3438789291606,11.8096323434345,14.0056361530457,16.3446493458312,18.8265059351085,21.4616749380672,15.9944055895429,18.7245663996639,21.6490146216633,24.7352880029185,28.0075257495434,20.0144489094515,23.2784228905256,26.7624359316504,30.4142022278351,34.3139052029237,23.8853294827413,27.6570804379977,31.6594106076441,35.8492108789943,40.3494536714052,27.5288438695669,31.808537785688,36.300220407758,41.0803760278393,46.1312559270948
9,1094EW,MFH_75_91,37.6243035809144,10.6380985798955,12.6630905059693,14.8229802758198,17.124436568165,19.572826081592,14.1708470084467,16.6691881010312,19.3480916088028,22.1833915103128,25.1959194876512,17.5922602580239,20.555789324593,23.7302709279346,27.0659757781818,30.6344175156796,20.8984006326223,24.3073974375392,27.9410016927936,31.7486584625821,35.8489114500164,24.0166748010568,27.8729494142593,31.9388428284906,36.2655450918131,40.8532784935173
