postcode;2010;2011;2012;2013;2014;2015
1097EZ;159.8129285;161.2512962;151.4395735;148.9738003;141.6278508;141.5764805
1097HN;154.8025413;135.061944;129.1196213;121.8679733;120.256496;113.8105866
1097HP;138.2300513;122.3230243;112.0539309;112.85935;107.6241259;103.6977078
1097HR;61.65514814;57.32400137;51.91006791;52.9928546;53.56609462;51.46421457
1097HS;45.78237863;44.94997175;42.01464221;38.72882556;42.18988576;40.130774
1097HT;46.87072947;43.24512784;38.09065806;39.27007063;38.35274974;37.17333716
1097HW;55.82779318;51.66436454;47.18552463;50.59196625;49.33032121;49.58265022
1097HZ;99.38906494;94.97830762;87.33299493;90.05296194;89.97944932;88.06812115
1097JE;62.18938879;57.84921156;56.24394053;50.71467365;51.01194606;51.72539985
1097JG;98.73625437;92.64928815;88.47334621;85.64219913;84.15584691;80.97080645
1097MC;89.60160529;94.36939713;84.3405936;88.94397883;84.58720353;82.1211043
1097MD;102.9480326;92.52039315;83.75320586;82.2255899;84.35096863;82.49126224
1097ME;91.09177433;90.8178141;88.07821187;88.14670192;85.5440798;79.24299466
1097ML;89.84126394;91.55116904;87.7751286;91.90739927;86.35020768;81.86170679
1097MN;143.3350284;144.6673447;134.8970252;141.4475803;122.2400204;137.3396051
1097NA;140.4095937;135.7469355;132.5678504;132.4618809;130.3424908;132.8857589
1097NC;126.0859236;129.5584539;110.7902542;112.9399158;109.7154233;109.7981026
1097NH;102.7282509;104.8326992;104.7547566;96.02519358;100.0002625;100.5458602
1097NJ;86.79814877;84.09748278;83.78345185;91.69703126;89.43600857;88.49391578
1097NL;55.71021439;68.26949747;73.74257954;104.5646733;76.79598323;76.45031489
1097NP;372.3383986;359.5529092;348.638467;317.1425053;304.3570159;295.313621
1097NS;97.85676843;96.44715615;91.40222798;94.51821302;90.95708726;73.89335963
1097PE;74.06185077;74.21736122;73.59531943;;;
1097PK;144.6640533;143.3634774;137.9610854;141.9628572;;
1097PL;72.24360132;74.61976132;69.61731922;65.19849536;62.82233537;50.60803924
1097PN;88.06060265;85.52303076;82.84829283;84.56286843;77.0187358;77.36165092
1097PT;71.08219336;69.80014979;66.38136695;68.04327527;65.24177266;59.87618292
1097PV;80.32977;73.73696816;68.23229866;67.46420524;65.28794056;62.79163695
1097PW;90.99350201;92.77104949;94.12537138;88.20021311;84.98369862;78.46602452
1097RA;148.2188514;151.2728112;143.8415089;138.0389852;135.4940187;127.3501257
1097RG;210.0539552;206.3791964;199.0296787;201.1634097;193.221189;190.8503769
1097RH;97.8488668;96.12998625;87.2172723;84.79810708;77.66793591;74.99412173
1097RJ;109.4506271;108.1818795;103.9527208;98.96231357;97.69356596;93.6335736
1097RK;120.8092611;127.9156882;114.1415023;106.4209395;94.92782898;99.92864806
1097RL;163.8353572;;146.1934475;148.0439975;139.4080976;130.6488278
1097RM;188.0965909;195.9024736;182.5569323;185.452663;181.0461163;173.6179377
1097RN;139.7991474;139.7991474;134.8164894;137.5925417;137.1654567;133.2505112
1097RP;188.9477438;187.3826646;181.0512079;254.0408107;173.2258118;172.7278321
1097RR;191.3637496;195.3631187;184.2133625;195.6055047;187.4855736;186.0312576
1097RS;161.1804022;163.8109429;158.6694315;168.4741741;161.0608322;165.4849233
1097RT;208.6406645;215.4885076;208.7863633;189.9912197;188.6799306;189.9912197
1097RW;162.364864;;;144.0541129;154.0678049;144.9124293
1097RZ;161.9421942;159.602345;152.5827974;148.5188488;137.9279524;135.3418033
1097SB;157.0284686;161.8582085;162.1058875;;147.8643466;154.0563209
1097SE;185.2100073;194.5673073;196.825966;172.3033866;171.8193883;175.368709
1097SG;188.1186283;191.6045326;191.7247362;188.8398498;197.4945088;190.0418858
1097SJ;205.8427692;195.8926655;229.6297357;186.8753841;183.455036;182.9886249
1097SK;194.745027;197.4806902;198.335585;199.3614587;170.2950368;174.2275527
1097SL;127.2189832;144.4289783;138.8610387;122.3259454;116.7580058;134.1367263
1094SH;40.61783412;36.53181159;37.22435779;34.41954571;34.28103647;34.3849184
1094NN;51.09425776;;51.55959709;44.30030363;;
1094ME;42.08216837;40.05363284;38.18419814;39.1388031;37.74667087;38.66150062
1094SB;71.40504502;66.36552395;68.92077407;75.87673273;76.58652443;67.89157611
1094SN;46.02512232;46.31368108;;;;
1094SR;49.97679062;51.9555671;47.18620841;47.59211127;42.11242256;42.26463613
1094SP;40.72358639;38.1638181;38.81539548;;33.50969394;34.62668374
1094NR;50.04067508;48.92866007;48.42319871;47.66500666;42.76203143;43.21694666
1094SC;43.54297262;38.80268011;;38.46408778;37.44831082;35.58605305
1094LW;36.19030762;37.18840599;38.11257115;33.86141142;34.3419773;33.34387893
1094EW;43.52962191;38.4376109;38.04863783;35.82088301;35.36118758;37.62430358
1091KZ;;45.22063027;37.00624055;35.3882547;34.72446563;35.01487335
1091LC;50.2789462;50.99914597;51.08917094;52.30450805;53.20475776;50.72907106
1091LE;38.13256786;35.26237458;35.00144792;35.3742003;35.89605362;34.85234697
1091LG;44.58660503;42.95323435;42.3352022;40.70183152;35.80171949;37.56752563
1091LH;49.69067955;48.33229236;43.24929516;44.21331187;44.52004446;39.21795255
1091LN;38.78531586;33.32750195;33.17267035;35.64997595;35.22418905;34.25649155
1091LP;45.0361593;40.67265587;41.63342727;40.47249516;40.07217374;
1091LR;40.27122086;37.95153769;37.72337214;39.09236548;38.90222752;37.95153769
1091ME;46.7373674;42.7324516;43.73368055;43.13294318;38.96783075;40.32950212
1091MG;;37.0480829;36.84782299;35.68631553;35.16563977;
1091NB;47.64736953;49.80976972;46.4170384;49.58607315;47.16269363;46.86443154
1091NH;46.77206304;45.51057586;48.22762516;46.57798809;46.14131945;42.40537665
1091NJ;;43.03459927;37.83628702;37.98481023;37.91054862;36.23966254
1091NP;48.5703499;45.02080537;42.99891291;42.63946536;42.45974159;43.04384385
1091NR;42.56652708;44.98197241;41.47274052;36.45955211;37.96350863;34.81887226
1091NV;48.09066813;50.56319606;55.01374632;57.81594463;50.89286645;49.0796793
1091PA;36.45901237;32.90284617;32.76990538;32.96931657;33.03578696;31.93902542
1091PB;53.89211897;48.72902785;55.55033802;60.41193477;57.9246062;47.33461638
1091PD;47.76196389;46.01132617;45.13600731;45.09794997;49.01785617;42.43393605
1091PG;44.49603857;44.0380248;43.00749379;42.91589104;40.55712008;39.50368839
1091PH;44.60749863;41.93529994;45.54884135;47.76555163;44.91115757;39.23273535
1091PK;42.36627156;40.84208117;43.76603824;41.24645821;;
1091PP;34.24623275;34.28024093;36.18469876;35.06242897;32.1037177;33.49805289
1091PR;37.35877878;36.13860733;36.13860733;87.81645694;35.52852161;36.3898191
1091VP;37.44117887;35.66288454;37.24718313;35.53355404;33.36726822;34.30491432
1091VR;43.147269;42.39470035;41.85715132;41.6062951;41.39127549;36.26664138
1091VS;43.19087639;42.51230803;40.47660293;40.37481768;38.13554208;37.01590428
1091VT;39.21298304;38.10792032;37.2707516;36.73496362;36.43358288;34.65878518
1091VV;;;43.89067284;41.16261371;37.46764755;34.53239405
1091WS;41.34202947;44.9454116;38.55231426;37.46742502;38.20359986;36.69250413
1091WV;37.4844014;34.00116241;34.47614954;34.67406085;33.88241562;34.5157318
1091ZC;35.11628924;32.73231702;30.80243475;30.27266314;29.32664242;27.69948678
