,postcode,archetype,l_pc6_consumption_kwh_m3,case1_kwh_m3,case2_kwh_m3,case3_kwh_m3,case4_kwh_m3,case5_kwh_m3,case6_kwh_m3,case7_kwh_m3,case8_kwh_m3,case9_kwh_m3,case10_kwh_m3,case11_kwh_m3,case12_kwh_m3,case13_kwh_m3,case14_kwh_m3,case15_kwh_m3,case16_kwh_m3,case17_kwh_m3,case18_kwh_m3,case19_kwh_m3,case20_kwh_m3,case21_kwh_m3,case22_kwh_m3,case23_kwh_m3,case24_kwh_m3,case25_kwh_m3
0,1091KZ,MFH_1964,34.7244656279854,17.3193256974122,17.9821931010746,18.6531566607947,19.3304108621241,20.011104138593,18.5638696724849,19.3694013765184,20.1839463233133,21.0080203741407,21.8379695116647,19.9035470636046,20.8677777558471,21.8453348642552,22.831776250107,23.8262421446178,21.3391459921573,22.4787981754747,23.6333960061693,24.8006181085218,25.9774552917853,22.8733030824167,24.2047840111205,25.5572576276551,26.9245335967694,28.3021841092212
1,1091LC,MFH_1964,53.204757755927,20.8222345919677,22.5098706540131,24.2129516034216,25.9293215562428,27.6574646565742,24.3545157018806,26.4040034107186,28.4702329058587,30.5591833966943,32.6660378300239,28.1661522117982,30.6191270762203,33.0998926321899,35.6032107554214,38.1282056180601,32.2560324940588,35.156218535433,38.0887933645926,41.0506578983591,44.0358329273388,36.6270872034073,40.0152104169834,43.448236650963,46.9170370842438,50.4155314503721
2,1091LE,MFH_1964,35.8960536190296,20.9386916106797,22.0403810101502,23.1510503076269,24.270641286591,25.3970872606295,23.425963262956,24.7674756111223,26.1222758796769,27.4881227326508,28.8619743569429,26.1136889431719,27.7238123085204,29.3490574145956,30.9859603785362,32.6342737801377,28.9968474765911,30.900993369525,32.8240741851591,34.7637176003571,36.7162705285721,32.0912883104241,34.3214030455681,36.5735672871616,38.8427016439499,41.1235084127332
3,1091LG,MFH_1964,35.8017194853971,22.8289706416209,24.5324136342106,26.2488400135298,27.9774993766377,29.7178395402385,26.7736973156717,28.8458854816356,30.9372584774998,33.0466411439419,35.1704088931727,31.0468880995792,33.5329447251846,36.0422638419532,38.5693660925629,41.1151859410532,35.6356020822521,38.5739393029377,41.5409475793783,44.5336111412648,47.5478806444264,40.5541677122949,43.995954513492,47.4731659969108,50.9773919861965,54.5043707589876
4,1091LH,Others_1964,44.5200444628452,19.2992245995544,19.8319905572313,20.3706360140936,20.9131239782975,21.4571628340187,20.5494977865549,21.1970760117882,21.853218861819,22.5148708488818,23.1791153710185,21.8999539360522,22.6782237061692,23.4640164575273,24.2563136942047,25.0522219618777,23.3502226858928,24.2692300743048,25.1983066837625,26.1354155224222,27.0781723839214,24.9040539528801,25.980650437567,27.0699318260081,28.1673843294587,29.2703459699413
5,1091LN,MFH_1964,35.2241890501056,26.3232801890267,27.9477871499028,29.5885449159659,31.2426161759042,32.9086278670334,30.4783069159031,32.4552043315039,34.4498994203791,36.4596634377005,38.4825150018731,34.9175054767991,37.2747586364788,39.6609677763099,42.071127300684,44.4986673653653,39.6319422739971,42.4245779683676,45.2455265628981,48.0915378965514,50.9603698796278,44.6705956700823,47.9279696317221,51.2221034361112,54.550303099502,57.9081192035761
6,1091LP,MFH_1964,40.0721737438926,25.7340539092642,27.3439082068002,28.9728386306566,30.6155425120329,32.2715030654105,29.8513964813705,31.8157656447299,33.7975707021114,35.7957106756706,37.805893998709,34.279012585113,36.6192870409827,38.9836032579395,41.3756236724853,43.7865179929312,38.976907515132,41.7460914825815,44.5452714790507,47.3702458135834,50.2192843781387,43.9970069815884,47.2285791746547,50.4966858569989,53.7991250729329,57.1331556123139
7,1091LR,MFH_1964,38.902227515011,28.2151712410747,29.8372541243417,31.4761681482362,33.1274900564775,34.7904880603426,32.7381784558739,34.7157317768014,36.7082461116202,38.7162255814504,40.7371495806908,37.6004917085425,39.9589654527173,42.3395229543532,44.743123669776,47.1663200610018,42.7697334135834,45.5587591183923,48.3754464369284,51.215616042485,54.0777393097298,48.2920550464566,51.5480757903021,54.8376937675163,58.1583558485548,61.5074763799298
8,1091ME,MFH_1964,38.9678307483804,19.8650905067397,21.5804088211488,23.3131961307324,25.0608663391461,26.8205593265916,23.212749408479,25.2972115679775,27.3997421489556,29.5271232318926,31.6727953803653,26.8177677126568,29.3116722914071,31.8368840497446,34.3855419398408,36.9576973410934,30.6821663422443,33.6320973273783,36.6165723941466,39.6323375140363,42.6721310655239,34.8135665745478,38.2588120787424,41.7522514578595,45.284430902746,48.8464789040877
9,1091MG,MFH_1964,35.1656397682786,21.1864979550407,22.9031761024809,24.6346411411923,26.3793544351912,28.134538446793,24.7371302835299,26.8183852299463,28.9216007081289,31.0476359563544,33.1894372278406,28.5593818188419,31.0575271876777,33.5827485533681,36.1324082542269,38.7008712857427,32.667160231686,35.6208617453866,38.6060553410377,41.6202432329516,44.6607677771566,37.0622439454716,40.5182401698253,44.018217404568,47.5494868984061,51.1079922473829
10,1091NB,MFH_1964,47.1626936320071,18.533166276117,19.4089880866554,20.2947466554888,21.1885407256148,22.0873211112752,20.1926049113784,21.2568305290115,22.331937554645,23.4199229060111,24.5159915890347,21.971141155085,23.2455812261786,24.5368097553302,25.8401752395592,27.1544460469712,23.8762126289691,25.3829886972605,26.9086338444804,28.4505771885186,30.0052075368299,25.9114663983494,27.6715640364112,29.457478113894,31.2632657079667,33.0825892952885
11,1091NH,MFH_1964,46.1413194478794,21.0704277443691,22.7690833258516,24.4827529421323,26.2097118854652,27.9482354481046,24.6246873122069,26.6868749768787,28.770539791691,30.8762808656503,32.9983612761492,28.4509242141567,30.9265152481006,33.426615286854,35.9498445642202,38.4929896773464,32.5576893696743,35.4822127524548,38.437072836744,41.42150712017,44.4305956469525,36.9469616539628,40.3688907506476,43.8326667036924,47.3294844261841,50.8506477601199
12,1091NJ,MFH_1964,37.9105486222069,22.1706543942934,23.8697443376829,25.5826291441457,27.3087407172617,29.0458931208052,25.9604009136624,28.0257648490205,30.1141243394749,32.2213915607845,34.3424042454787,30.057104748777,32.5400936525216,35.0471525545921,37.5728104394634,40.116141062972,34.460148403528,37.3942058649186,40.3585082857241,43.3483626955169,46.3617313571375,39.1769171313784,42.6156171128249,46.090625865476,49.5934342929509,53.1161631448996
13,1091NP,MFH_1964,42.4597415880211,20.4818937629235,22.173331304649,23.8794876774434,25.5995734326797,27.3311149646597,23.9760986460923,26.0291913755238,28.1001607305325,30.19479600105,32.3062552989752,27.7522068623316,30.211584941852,32.6980147943263,35.2069000744145,37.7370653808277,31.8091307268663,34.7154595324205,37.6538574955359,40.6216404908807,43.6142998896292,36.1465193736399,39.5444466109136,42.9870741837814,46.464507669451,49.9696069436732
14,1091NR,MFH_1964,37.9635086302318,20.6760169617879,22.3774404985594,24.0935979279638,25.8248985247964,27.5667379476096,24.1762543835097,26.2417960632185,28.3251582496419,30.4324459584773,32.5563945621071,27.9560264904615,30.4295298755604,32.9303864594825,35.4526447045785,37.9969526292745,32.0138667146264,34.9364980282819,37.8906093949472,40.8752117338666,43.884387613624,36.3508152961094,39.766656844405,43.2271263985111,46.7228447443675,50.2468712635696
15,1091NV,MFH_1964,50.8928664454916,21.3775738097631,23.0586465885212,24.7545684168834,26.4632113936605,28.183095239764,24.9512450811628,26.9910234060698,29.053453084942,31.1368996429529,33.2355653203399,28.7900405051001,31.2403341442454,33.7144510249673,36.2109262877517,38.7251340604475,32.9077297610108,35.8009198194501,38.7244093404772,41.6757928705738,44.6512309358547,37.3062248760506,40.6922861925865,44.1182533662103,47.5761082185271,51.0579250885852
16,1091PA,MFH_1964,33.0357869623985,21.6646577996552,23.3522960561223,25.055208645834,26.7710078569266,28.4981662560757,25.3697019003265,27.4186571431978,29.4881010606625,31.5776649619182,33.683872619399,29.3842355946,31.8396461121185,34.323006903804,36.8279448857854,39.3525639339359,33.7006217158533,36.6052029709891,39.541895439348,42.506819089152,45.4965152495398,38.328779802343,41.7295310940563,45.1720849000859,48.6479437752704,52.1486453878583
17,1091PB,MFH_1964,57.9246061972329,26.978818763717,28.0418859003326,29.1172819565543,30.2020576614174,31.2929978260835,29.7964845550842,31.0927133183664,32.3999172375331,33.7165975027499,35.0409893863085,32.8200916525761,34.3634548180782,35.9245619580721,37.502446098471,39.0920306253195,36.0278106161843,37.85524659402,39.7042944426945,41.5694665842654,43.4484664552768,39.4576435275179,41.5919003830779,43.7512743905411,45.9341216939601,48.1360909099444
