,postcode,archetype,l_pc6_consumption_kwh_m3,case1_kwh_m3,case2_kwh_m3,case3_kwh_m3,case4_kwh_m3,case5_kwh_m3,case6_kwh_m3,case7_kwh_m3,case8_kwh_m3,case9_kwh_m3,case10_kwh_m3,case11_kwh_m3,case12_kwh_m3,case13_kwh_m3,case14_kwh_m3,case15_kwh_m3,case16_kwh_m3,case17_kwh_m3,case18_kwh_m3,case19_kwh_m3,case20_kwh_m3,case21_kwh_m3,case22_kwh_m3,case23_kwh_m3,case24_kwh_m3,case25_kwh_m3
0,1094NS,MFH_1964,40.8135244189487,24.9171669127753,26.4241545248566,27.9415335755563,29.4683450753599,31.0029143709364,27.7831857994753,29.5905088888689,31.4109143128316,33.2437007208231,35.0871791462359,30.8170851042946,32.9443385463015,35.091215490162,37.2536509653974,39.4335772643127,34.0177054518501,36.4971513713267,39.0069557499072,41.5392033457792,44.0887127529097,37.4190981265399,40.2840292042386,43.1744522270877,46.0888929276251,49.0252615675058
1,1094SH,MFH_75_91,34.3849184015565,13.5798966294475,15.4841961404692,17.4132377004031,19.3613292859748,21.3237388113267,15.7576295815611,18.0327218201315,20.3395595946832,22.6746411616814,25.0333696377219,18.0665089131541,20.7475194765812,23.4699019906481,26.228113154779,29.0190433125533,20.5065211039812,23.6228835662986,26.8004386588761,30.0245574762915,33.2861138529624,23.0845885196396,26.6849892841983,30.3519502164042,34.0704908844568,37.8328236270593
2,1094ME,MFH_75_91,38.6615006206033,12.7615177792797,14.6722510392224,16.6096611705085,18.5661906662459,20.5389537619867,14.8116513218238,17.0945165971345,19.4126596378263,21.7604405133828,24.1334788777693,16.9873673172037,19.6802085416485,22.4199457883387,25.1991249491082,28.0121436929771,19.2940142995259,22.4302950608366,25.6338883928627,28.887225912045,32.1745252128212,21.7383695852946,25.3697140474662,29.0655135155581,32.8135669398862,36.6070688042936
3,1094SB,MFH_75_91,67.8915761090638,13.2202087306788,15.1644106379944,17.1286001641535,19.1118211816031,21.1129657965121,15.2799503056139,17.6071951225642,19.9651119043455,22.3486771871484,24.755204707848,17.4696645212286,20.2105938593889,22.9939722255712,25.8150948651503,28.664005910274,19.7777109039823,22.9742122561451,26.2221927298849,29.5106037401463,32.8312650845323,22.2274007542116,25.9062001619741,29.6487565832226,33.4405763383859,37.2775920912072
4,1094SR,MFH_1964,42.2646361309314,24.2471463919501,26.1643667559226,28.0938678143793,30.0353241072189,31.9895818307046,27.8475813071538,30.1377789470673,32.4508455834229,34.7821162881039,37.1287053148801,31.6584804211143,34.3585191177611,37.0832059927365,39.8326278354009,42.6030310059206,35.6793013003294,38.819622421839,41.9980223751856,45.2139804242072,48.4590346062733,39.9360373582126,43.5694956250151,47.2451335209293,50.9498241552079,54.6852816177171
5,1094SP,MFH_1964,34.6266837380185,20.9199713081632,22.2846323208613,23.6588332025102,25.0427097891412,26.435342575313,23.3369854002919,24.9688672328696,26.6181047306471,28.2813960331771,29.9556691563723,25.9007755484481,27.8265961033233,29.7717262724604,31.7354973246298,33.713823729974,28.611791056427,30.8551962519302,33.128495823193,35.4307807136998,37.7507347371703,31.4922254419193,34.0921270764877,36.7187570623994,39.3695240661386,42.0410530847796
6,1094NR,MFH_1964,43.21694665695,25.3035804524561,27.253631120984,29.2168455393693,31.1924779779402,33.1778373252727,28.9845345351128,31.3222673638493,33.6776383204735,36.0492207917004,38.434323666106,32.8824635292118,35.6331360579079,38.41049273964,41.20834077583,44.0282364718795,36.9928606336936,40.1980067627614,43.4443625619492,46.7211311625317,50.0211470750544,41.3593348228394,45.0653194840426,48.8038892895971,52.5738445874225,56.3732724187956
7,1094SC,MFH_75_91,35.5860530474095,14.1351622404897,16.0299138089615,17.946634292763,19.8814122712976,21.831366008896,16.2929464781272,18.5554199571391,20.8481896691818,23.1688990870056,25.5115152244252,18.5778311532429,21.2426557452852,23.9472095899951,26.687871513534,29.4588365807409,20.9902101721513,24.0859613616179,27.2407639450738,30.4428076437211,33.6782850046411,23.5347482148925,27.1094065551442,30.7472142971833,34.4345782178412,38.1640970247876
8,1094LW,MFH_75_91,33.3438789291606,14.7292313830662,16.6416469456086,18.5743128834173,20.5238027571175,22.4885634056088,17.0432635801339,19.329919830779,21.6453747708396,23.9865457904978,26.3478960482725,19.5004118661003,22.1946365594578,24.9256510153746,27.6912262698284,30.4874260672053,22.0941197670062,25.2274148041784,28.4158055637523,31.6454677263132,34.9076277100714,24.8364687421002,28.4523819148626,32.1268409617847,35.8494835714013,39.6127454934664
9,1094EW,MFH_75_91,37.6243035809144,12.3676997943845,14.271099478504,16.1990780070405,18.1444586114691,20.1072730474028,14.4165719413905,16.6888130698292,18.9982082654098,21.3376125152205,23.6993727165422,16.596690036685,19.2801981083332,22.0065762574528,24.7717915212003,27.5706677346661,18.9065933220727,22.0273444283168,25.214591788061,28.4489962330238,31.7197290991921,21.3500924711066,24.9616265753665,28.6395934219006,32.3716718328875,36.1445562065047
